Script started on 2025-08-31 13:05:42+00:00 [TERM="xterm-256color" TTY="/dev/pts/6" COLUMNS="159" LINES="17"]
 PyTorch version: 2.7.0+cu126
 CUDA version 	: 12.6
 GPU cuda:(0) 	: NVIDIA GeForce RTX 4090 
 --------------------------------------------------
 [Benchmark] Attention unified benchmark for Causal_Mask
 bs:1 | h_num:12 | seq:128  |  FlashAttn2  : 0.104 ms / iter
 bs:1 | h_num:12 | seq:128  |  Torch Naive : 0.376 ms / iter
 bs:1 | h_num:12 | seq:128  |   FlexAttn   : 0.191 ms / iter
 bs:1 | h_num:12 | seq:128  |  ByteTrans   : 0.145 ms / iter
 bs:1 | h_num:12 | seq:128  |  Our Kernel  : 0.109 ms / iter

 bs:1 | h_num:12 | seq:256  |  FlashAttn2  : 0.111 ms / iter
 bs:1 | h_num:12 | seq:256  |  Torch Naive : 0.382 ms / iter
 bs:1 | h_num:12 | seq:256  |   FlexAttn   : 0.180 ms / iter
 bs:1 | h_num:12 | seq:256  |  ByteTrans   : 0.119 ms / iter
 bs:1 | h_num:12 | seq:256  |  Our Kernel  : 0.096 ms / iter

 bs:1 | h_num:12 | seq:512  |  FlashAttn2  : 0.129 ms / iter
 bs:1 | h_num:12 | seq:512  |  Torch Naive : 0.408 ms / iter
 bs:1 | h_num:12 | seq:512  |   FlexAttn   : 0.191 ms / iter
 bs:1 | h_num:12 | seq:512  |  ByteTrans   : 0.222 ms / iter
 bs:1 | h_num:12 | seq:512  |  Our Kernel  : 0.109 ms / iter

 bs:1 | h_num:12 | seq:1024  |  FlashAttn2  : 0.142 ms / iter
 bs:1 | h_num:12 | seq:1024  |  Torch Naive : 0.472 ms / iter
 bs:1 | h_num:12 | seq:1024  |   FlexAttn   : 0.205 ms / iter
 bs:1 | h_num:12 | seq:1024  |  ByteTrans   : 0.313 ms / iter
 bs:1 | h_num:12 | seq:1024  |  Our Kernel  : 0.129 ms / iter

 bs:1 | h_num:12 | seq:2048  |  FlashAttn2  : 0.217 ms / iter
 bs:1 | h_num:12 | seq:2048  |  Torch Naive : 1.348 ms / iter
 bs:1 | h_num:12 | seq:2048  |   FlexAttn   : 0.292 ms / iter
 bs:1 | h_num:12 | seq:2048  |  Our Kernel  : 0.182 ms / iter

 bs:1 | h_num:12 | seq:4096  |  FlashAttn2  : 0.391 ms / iter
 bs:1 | h_num:12 | seq:4096  |  Torch Naive : 5.020 ms / iter
