Script started on 2025-08-31 13:07:02+00:00 [TERM="xterm-256color" TTY="/dev/pts/6" COLUMNS="159" LINES="17"]
 PyTorch version: 2.7.0+cu126
 CUDA version 	: 12.6
 GPU cuda:(0) 	: NVIDIA GeForce RTX 4090 
 --------------------------------------------------
 [Benchmark] Attention unified benchmark for Sliding_Mask
 bs:1 | h_num:12 | seq:128  |  FlashAttn2  : 0.099 ms / iter
 bs:1 | h_num:12 | seq:128  |  Torch Naive : 0.369 ms / iter
 bs:1 | h_num:12 | seq:128  |   FlexAttn   : 0.166 ms / iter
 bs:1 | h_num:12 | seq:128  |  ByteTrans   : 0.112 ms / iter
 bs:1 | h_num:12 | seq:128  |  Our Kernel  : 0.086 ms / iter

 bs:1 | h_num:12 | seq:256  |  FlashAttn2  : 0.101 ms / iter
 bs:1 | h_num:12 | seq:256  |  Torch Naive : 0.379 ms / iter
 bs:1 | h_num:12 | seq:256  |   FlexAttn   : 0.172 ms / iter
 bs:1 | h_num:12 | seq:256  |  ByteTrans   : 0.114 ms / iter
 bs:1 | h_num:12 | seq:256  |  Our Kernel  : 0.085 ms / iter

 bs:1 | h_num:12 | seq:512  |  FlashAttn2  : 0.121 ms / iter
 bs:1 | h_num:12 | seq:512  |  Torch Naive : 0.407 ms / iter
 bs:1 | h_num:12 | seq:512  |   FlexAttn   : 0.182 ms / iter
 bs:1 | h_num:12 | seq:512  |  ByteTrans   : 0.217 ms / iter
 bs:1 | h_num:12 | seq:512  |  Our Kernel  : 0.091 ms / iter

 bs:1 | h_num:12 | seq:1024  |  FlashAttn2  : 0.138 ms / iter
 bs:1 | h_num:12 | seq:1024  |  Torch Naive : 0.475 ms / iter
 bs:1 | h_num:12 | seq:1024  |   FlexAttn   : 0.201 ms / iter
 bs:1 | h_num:12 | seq:1024  |  ByteTrans   : 0.315 ms / iter
 bs:1 | h_num:12 | seq:1024  |  Our Kernel  : 0.093 ms / iter

 bs:1 | h_num:12 | seq:2048  |  FlashAttn2  : 0.217 ms / iter
 bs:1 | h_num:12 | seq:2048  |  Torch Naive : 1.402 ms / iter
 bs:1 | h_num:12 | seq:2048  |   FlexAttn   : 0.291 ms / iter
 bs:1 | h_num:12 | seq:2048  |  Our Kernel  : 0.091 ms / iter

 bs:1 | h_num:12 | seq:4096  |  FlashAttn2  : 0.377 ms / iter
 bs:1 | h_num:12 | seq:4096  |  Torch Naive : 5.018 ms / iter
 bs:1 | h_num:12 | seq:4096  |   FlexAttn   : 0.447 ms / iter
 bs:1 | h_num:12 | seq:4096  |  Our Kernel  : 0.096 ms / iter

 bs:8 | h_num:12 | seq:128  |  FlashAttn2  : 0.099 ms / iter
 bs:8 | h_num:12 | seq:128  |  Torch Naive : 0.484 ms / iter
 bs:8 | h_num:12 | seq:128  |   FlexAttn   : 0.169 ms / iter
 bs:8 | h_num:12 | seq:128  |  ByteTrans   : 0.119 ms / iter
