Script started on 2025-08-31 13:09:07+00:00 [TERM="xterm-256color" TTY="/dev/pts/6" COLUMNS="159" LINES="17"]
 PyTorch version: 2.7.0+cu126
 CUDA version 	: 12.6
 GPU cuda:(0) 	: NVIDIA GeForce RTX 4090 
 --------------------------------------------------
 [Benchmark] Attention unified benchmark for Longformer_Mask
 bs:1 | h_num:12 | seq:128  |  FlashAttn2  : 0.098 ms / iter
 bs:1 | h_num:12 | seq:128  |  Torch Naive : 0.253 ms / iter
 bs:1 | h_num:12 | seq:128  |   FlexAttn   : 0.166 ms / iter
 bs:1 | h_num:12 | seq:128  |  ByteTrans   : 0.109 ms / iter
 bs:1 | h_num:12 | seq:128  |  Our Kernel  : 0.081 ms / iter

 bs:1 | h_num:12 | seq:256  |  FlashAttn2  : 0.100 ms / iter
 bs:1 | h_num:12 | seq:256  |  Torch Naive : 0.258 ms / iter
 bs:1 | h_num:12 | seq:256  |   FlexAttn   : 0.170 ms / iter
 bs:1 | h_num:12 | seq:256  |  ByteTrans   : 0.112 ms / iter
 bs:1 | h_num:12 | seq:256  |  Our Kernel  : 0.081 ms / iter

 bs:1 | h_num:12 | seq:512  |  FlashAttn2  : 0.118 ms / iter
 bs:1 | h_num:12 | seq:512  |  Torch Naive : 0.279 ms / iter
 bs:1 | h_num:12 | seq:512  |   FlexAttn   : 0.184 ms / iter
 bs:1 | h_num:12 | seq:512  |  ByteTrans   : 0.205 ms / iter
 bs:1 | h_num:12 | seq:512  |  Our Kernel  : 0.094 ms / iter

 bs:1 | h_num:12 | seq:1024  |  FlashAttn2  : 0.145 ms / iter
 bs:1 | h_num:12 | seq:1024  |  Torch Naive : 0.321 ms / iter
 bs:1 | h_num:12 | seq:1024  |   FlexAttn   : 0.200 ms / iter
 bs:1 | h_num:12 | seq:1024  |  ByteTrans   : 0.300 ms / iter
 bs:1 | h_num:12 | seq:1024  |  Our Kernel  : 0.116 ms / iter

 bs:1 | h_num:12 | seq:2048  |  FlashAttn2  : 0.218 ms / iter
 bs:1 | h_num:12 | seq:2048  |  Torch Naive : 0.981 ms / iter
 bs:1 | h_num:12 | seq:2048  |   FlexAttn   : 0.290 ms / iter
 bs:1 | h_num:12 | seq:2048  |  Our Kernel  : 0.168 ms / iter

 bs:1 | h_num:12 | seq:4096  |  FlashAttn2  : 0.452 ms / iter
 bs:1 | h_num:12 | seq:4096  |  Torch Naive : 3.337 ms / iter
 bs:1 | h_num:12 | seq:4096  |   FlexAttn   : 0.461 ms / iter
 bs:1 | h_num:12 | seq:4096  |  Our Kernel  : 0.211 ms / iter

 bs:8 | h_num:12 | seq:128  |  FlashAttn2  : 0.094 ms / iter
 bs:8 | h_num:12 | seq:128  |  Torch Naive : 0.354 ms / iter
 bs:8 | h_num:12 | seq:128  |   FlexAttn   : 0.165 ms / iter
 bs:8 | h_num:12 | seq:128  |  ByteTrans   : 0.113 ms / iter
 bs:8 | h_num:12 | seq:128  |  Our Kernel  : 0.081 ms / iter

 bs:8 | h_num:12 | seq:256  |  FlashAttn2  : 0.108 ms / iter
 bs:8 | h_num:12 | seq:256  |  Torch Naive : 0.403 ms / iter
 bs:8 | h_num:12 | seq:256  |   FlexAttn   : 0.179 ms / iter
 bs:8 | h_num:12 | seq:256  |  ByteTrans   : 0.139 ms / iter
 bs:8 | h_num:12 | seq:256  |  Our Kernel  : 0.090 ms / iter

 bs:8 | h_num:12 | seq:512  |  FlashAttn2  : 0.142 ms / iter
 bs:8 | h_num:12 | seq:512  |  Torch Naive : 0.671 ms / iter
 bs:8 | h_num:12 | seq:512  |   FlexAttn   : 0.219 ms / iter
 bs:8 | h_num:12 | seq:512  |  ByteTrans   : 0.452 ms / iter
 bs:8 | h_num:12 | seq:512  |  Our Kernel  : 0.118 ms / iter

 bs:8 | h_num:12 | seq:1024  |  FlashAttn2  : 0.270 ms / iter
 bs:8 | h_num:12 | seq:1024  |  Torch Naive : 2.052 ms / iter
 bs:8 | h_num:12 | seq:1024  |   FlexAttn   : 0.348 ms / iter
 bs:8 | h_num:12 | seq:1024  |  ByteTrans   : 1.215 ms / iter
 bs:8 | h_num:12 | seq:1024  |  Our Kernel  : 0.169 ms / iter

 bs:8 | h_num:12 | seq:2048  |  FlashAttn2  : 0.792 ms / iter
 bs:8 | h_num:12 | seq:2048  |  Torch Naive : 6.736 ms / iter
 bs:8 | h_num:12 | seq:2048  |   FlexAttn   : 0.698 ms / iter
 bs:8 | h_num:12 | seq:2048  |  Our Kernel  : 0.274 ms / iter

 bs:8 | h_num:12 | seq:4096  |  FlashAttn2  : 2.848 ms / iter
 bs:8 | h_num:12 | seq:4096  |  Torch Naive : 25.429 ms / iter
 bs:8 | h_num:12 | seq:4096  |   FlexAttn   : 1.878 ms / iter
 bs:8 | h_num:12 | seq:4096  |  Our Kernel  : 0.473 ms / iter

 bs:16 | h_num:12 | seq:128  |  FlashAttn2  : 0.098 ms / iter
 bs:16 | h_num:12 | seq:128  |  Torch Naive : 0.377 ms / iter
 bs:16 | h_num:12 | seq:128  |   FlexAttn   : 0.171 ms / iter
 bs:16 | h_num:12 | seq:128  |  ByteTrans   : 0.121 ms / iter
 bs:16 | h_num:12 | seq:128  |  Our Kernel  : 0.085 ms / iter

 bs:16 | h_num:12 | seq:256  |  FlashAttn2  : 0.116 ms / iter
 bs:16 | h_num:12 | seq:256  |  Torch Naive : 0.481 ms / iter
 bs:16 | h_num:12 | seq:256  |   FlexAttn   : 0.193 ms / iter
 bs:16 | h_num:12 | seq:256  |  ByteTrans   : 0.170 ms / iter
 bs:16 | h_num:12 | seq:256  |  Our Kernel  : 0.102 ms / iter

 bs:16 | h_num:12 | seq:512  |  FlashAttn2  : 0.184 ms / iter
 bs:16 | h_num:12 | seq:512  |  Torch Naive : 1.261 ms / iter
 bs:16 | h_num:12 | seq:512  |   FlexAttn   : 0.265 ms / iter
 bs:16 | h_num:12 | seq:512  |  ByteTrans   : 0.740 ms / iter
 bs:16 | h_num:12 | seq:512  |  Our Kernel  : 0.148 ms / iter

 bs:16 | h_num:12 | seq:1024  |  FlashAttn2  : 0.446 ms / iter
 bs:16 | h_num:12 | seq:1024  |  Torch Naive : 3.734 ms / iter
 bs:16 | h_num:12 | seq:1024  |   FlexAttn   : 0.487 ms / iter
 bs:16 | h_num:12 | seq:1024  |  ByteTrans   : 2.261 ms / iter
 bs:16 | h_num:12 | seq:1024  |  Our Kernel  : 0.240 ms / iter

 bs:16 | h_num:12 | seq:2048  |  FlashAttn2  : 1.476 ms / iter
 bs:16 | h_num:12 | seq:2048  |  Torch Naive : 13.080 ms / iter
 bs:16 | h_num:12 | seq:2048  |   FlexAttn   : 1.160 ms / iter
 bs:16 | h_num:12 | seq:2048  |  Our Kernel  : 0.417 ms / iter

 bs:16 | h_num:12 | seq:4096  |  FlashAttn2  : 5.504 ms / iter
 bs:16 | h_num:12 | seq:4096  |  Torch Naive : 50.530 ms / iter
 bs:16 | h_num:12 | seq:4096  |   FlexAttn   : 3.475 ms / iter
 bs:16 | h_num:12 | seq:4096  |  Our Kernel  : 0.772 ms / iter


Script done on 2025-08-31 13:12:51+00:00 [COMMAND_EXIT_CODE="0"]
