Script started on 2025-08-31 13:12:51+00:00 [TERM="xterm-256color" TTY="/dev/pts/6" COLUMNS="159" LINES="17"]
 PyTorch version: 2.7.0+cu126
 CUDA version 	: 12.6
 GPU cuda:(0) 	: NVIDIA GeForce RTX 4090 
 --------------------------------------------------
 [Benchmark] Attention unified benchmark for BigBird_Mask
 bs:1 | h_num:12 | seq:128  |  FlashAttn2  : 0.095 ms / iter
 bs:1 | h_num:12 | seq:128  |  Torch Naive : 0.253 ms / iter
 bs:1 | h_num:12 | seq:128  |   FlexAttn   : 0.163 ms / iter
 bs:1 | h_num:12 | seq:128  |  ByteTrans   : 0.105 ms / iter
 bs:1 | h_num:12 | seq:128  |  Our Kernel  : 0.080 ms / iter

 bs:1 | h_num:12 | seq:256  |  FlashAttn2  : 0.097 ms / iter
 bs:1 | h_num:12 | seq:256  |  Torch Naive : 0.255 ms / iter
 bs:1 | h_num:12 | seq:256  |   FlexAttn   : 0.167 ms / iter
 bs:1 | h_num:12 | seq:256  |  ByteTrans   : 0.106 ms / iter
 bs:1 | h_num:12 | seq:256  |  Our Kernel  : 0.080 ms / iter

 bs:1 | h_num:12 | seq:512  |  FlashAttn2  : 0.116 ms / iter
 bs:1 | h_num:12 | seq:512  |  Torch Naive : 0.268 ms / iter
 bs:1 | h_num:12 | seq:512  |   FlexAttn   : 0.177 ms / iter
 bs:1 | h_num:12 | seq:512  |  ByteTrans   : 0.203 ms / iter
 bs:1 | h_num:12 | seq:512  |  Our Kernel  : 0.092 ms / iter

 bs:1 | h_num:12 | seq:1024  |  FlashAttn2  : 0.144 ms / iter
 bs:1 | h_num:12 | seq:1024  |  Torch Naive : 0.322 ms / iter
 bs:1 | h_num:12 | seq:1024  |   FlexAttn   : 0.199 ms / iter
 bs:1 | h_num:12 | seq:1024  |  ByteTrans   : 0.303 ms / iter
 bs:1 | h_num:12 | seq:1024  |  Our Kernel  : 0.114 ms / iter

 bs:1 | h_num:12 | seq:2048  |  FlashAttn2  : 0.215 ms / iter
 bs:1 | h_num:12 | seq:2048  |  Torch Naive : 0.983 ms / iter
 bs:1 | h_num:12 | seq:2048  |   FlexAttn   : 0.290 ms / iter
 bs:1 | h_num:12 | seq:2048  |  Our Kernel  : 0.167 ms / iter

 bs:1 | h_num:12 | seq:4096  |  FlashAttn2  : 0.446 ms / iter
 bs:1 | h_num:12 | seq:4096  |  Torch Naive : 3.335 ms / iter
 bs:1 | h_num:12 | seq:4096  |   FlexAttn   : 0.461 ms / iter
 bs:1 | h_num:12 | seq:4096  |  Our Kernel  : 0.195 ms / iter

 bs:8 | h_num:12 | seq:128  |  FlashAttn2  : 0.094 ms / iter
 bs:8 | h_num:12 | seq:128  |  Torch Naive : 0.350 ms / iter
 bs:8 | h_num:12 | seq:128  |   FlexAttn   : 0.162 ms / iter
 bs:8 | h_num:12 | seq:128  |  ByteTrans   : 0.113 ms / iter
 bs:8 | h_num:12 | seq:128  |  Our Kernel  : 0.081 ms / iter

 bs:8 | h_num:12 | seq:256  |  FlashAttn2  : 0.106 ms / iter
 bs:8 | h_num:12 | seq:256  |  Torch Naive : 0.396 ms / iter
 bs:8 | h_num:12 | seq:256  |   FlexAttn   : 0.177 ms / iter
 bs:8 | h_num:12 | seq:256  |  ByteTrans   : 0.135 ms / iter
 bs:8 | h_num:12 | seq:256  |  Our Kernel  : 0.091 ms / iter

 bs:8 | h_num:12 | seq:512  |  FlashAttn2  : 0.141 ms / iter
 bs:8 | h_num:12 | seq:512  |  Torch Naive : 0.671 ms / iter
 bs:8 | h_num:12 | seq:512  |   FlexAttn   : 0.222 ms / iter
 bs:8 | h_num:12 | seq:512  |  ByteTrans   : 0.460 ms / iter
 bs:8 | h_num:12 | seq:512  |  Our Kernel  : 0.113 ms / iter

 bs:8 | h_num:12 | seq:1024  |  FlashAttn2  : 0.268 ms / iter
 bs:8 | h_num:12 | seq:1024  |  Torch Naive : 2.048 ms / iter
 bs:8 | h_num:12 | seq:1024  |   FlexAttn   : 0.350 ms / iter
 bs:8 | h_num:12 | seq:1024  |  ByteTrans   : 1.230 ms / iter
 bs:8 | h_num:12 | seq:1024  |  Our Kernel  : 0.153 ms / iter

 bs:8 | h_num:12 | seq:2048  |  FlashAttn2  : 0.791 ms / iter
 bs:8 | h_num:12 | seq:2048  |  Torch Naive : 6.726 ms / iter
 bs:8 | h_num:12 | seq:2048  |   FlexAttn   : 0.709 ms / iter
 bs:8 | h_num:12 | seq:2048  |  Our Kernel  : 0.238 ms / iter

 bs:8 | h_num:12 | seq:4096  |  FlashAttn2  : 2.844 ms / iter
 bs:8 | h_num:12 | seq:4096  |  Torch Naive : 25.440 ms / iter
 bs:8 | h_num:12 | seq:4096  |   FlexAttn   : 1.918 ms / iter
 bs:8 | h_num:12 | seq:4096  |  Our Kernel  : 0.501 ms / iter

 bs:16 | h_num:12 | seq:128  |  FlashAttn2  : 0.096 ms / iter
 bs:16 | h_num:12 | seq:128  |  Torch Naive : 0.375 ms / iter
 bs:16 | h_num:12 | seq:128  |   FlexAttn   : 0.171 ms / iter
 bs:16 | h_num:12 | seq:128  |  ByteTrans   : 0.119 ms / iter
 bs:16 | h_num:12 | seq:128  |  Our Kernel  : 0.084 ms / iter

 bs:16 | h_num:12 | seq:256  |  FlashAttn2  : 0.117 ms / iter
 bs:16 | h_num:12 | seq:256  |  Torch Naive : 0.471 ms / iter
 bs:16 | h_num:12 | seq:256  |   FlexAttn   : 0.186 ms / iter
 bs:16 | h_num:12 | seq:256  |  ByteTrans   : 0.165 ms / iter
 bs:16 | h_num:12 | seq:256  |  Our Kernel  : 0.099 ms / iter

 bs:16 | h_num:12 | seq:512  |  FlashAttn2  : 0.183 ms / iter
 bs:16 | h_num:12 | seq:512  |  Torch Naive : 1.261 ms / iter
 bs:16 | h_num:12 | seq:512  |   FlexAttn   : 0.269 ms / iter
 bs:16 | h_num:12 | seq:512  |  ByteTrans   : 0.748 ms / iter
 bs:16 | h_num:12 | seq:512  |  Our Kernel  : 0.137 ms / iter

 bs:16 | h_num:12 | seq:1024  |  FlashAttn2  : 0.448 ms / iter
 bs:16 | h_num:12 | seq:1024  |  Torch Naive : 3.716 ms / iter
 bs:16 | h_num:12 | seq:1024  |   FlexAttn   : 0.492 ms / iter
 bs:16 | h_num:12 | seq:1024  |  ByteTrans   : 2.284 ms / iter
 bs:16 | h_num:12 | seq:1024  |  Our Kernel  : 0.214 ms / iter

 bs:16 | h_num:12 | seq:2048  |  FlashAttn2  : 1.474 ms / iter
 bs:16 | h_num:12 | seq:2048  |  Torch Naive : 13.077 ms / iter
 bs:16 | h_num:12 | seq:2048  |   FlexAttn   : 1.181 ms / iter
 bs:16 | h_num:12 | seq:2048  |  Our Kernel  : 0.360 ms / iter

 bs:16 | h_num:12 | seq:4096  |  FlashAttn2  : 5.443 ms / iter
 bs:16 | h_num:12 | seq:4096  |  Torch Naive : 50.523 ms / iter
 bs:16 | h_num:12 | seq:4096  |   FlexAttn   : 3.529 ms / iter
 bs:16 | h_num:12 | seq:4096  |  Our Kernel  : 0.706 ms / iter


Script done on 2025-08-31 13:16:07+00:00 [COMMAND_EXIT_CODE="0"]
