Operator , Batch , SeqLen , Hidden , single_config (ms) , fused_config (ms)
Bias+Layernorm,  1 ,    128 ,    512 ,  0.0442  , 0.0516
Bias+Layernorm,  1 ,   4096 ,    512 ,  0.0573  , 0.0306
Bias+Layernorm,  8 ,    128 ,    512 ,  0.0529  , 0.0524
Bias+Layernorm,  8 ,   4096 ,    512 ,  0.1274  , 0.01284
Bias+Layernorm,  1 ,    128 ,    1024 , 0.0760  , 0.0279
Bias+Layernorm,  1 ,   4096 ,    1024 , 0.0346  , 0.0591
Bias+Layernorm,  8 ,    128 ,    1024 , 0.0536  , 0.0537
Bias+Layernorm,  8 ,   4096 ,    1024 , 0.2565  , 0.2562
GEMM+Layernorm,  1 ,    128 ,    512 ,  0.747   , 0.066
GEMM+Layernorm,  1 ,   4096 ,    512 ,  1.715   , 0.172
GEMM+Layernorm,  8 ,    128 ,    512 ,  0.800  ,  0.071
GEMM+Layernorm,  8 ,   4096 ,    512 ,  6.825  ,  0.187
GEMM+Layernorm,  1 ,    128 ,    1024 , 4.880 ,   1.234
GEMM+Layernorm,  1 ,   4096 ,    1024 , 10.012  , 3.807
GEMM+Layernorm,  8 ,    128 ,    1024 , 5.160 ,   1.414
GEMM+Layernorm,  8 ,   4096 ,    1024 , 34.578  , 28.391
GEMM+GEMM,  1 ,    128 ,    512 ,       0.354  ,  0.087
GEMM+GEMM,  1 ,   4096 ,    512 ,       0.792  ,  0.552
GEMM+GEMM,  8 ,    128 ,    512 ,       0.429  ,  0.362
GEMM+GEMM,  8 ,   4096 ,    512 ,       5.482  ,  4.212
GEMM+GEMM,  1 ,    128 ,    1024 ,      1.929 ,   0.327
GEMM+GEMM,  1 ,   4096 ,    1024 ,      5.071  ,  3.443
GEMM+GEMM,  8 ,    128 ,    1024 ,      2.216 ,   1.601
GEMM+GEMM,  8 ,   4096 ,    1024 ,      31.406 ,  31.406
