hardware,batch_size, seq_length, hid_dim, GEMM+Layernorm(large), GEMM+Layernorm(small), GEMM+GEMM
A100, 1,  128,   512,  1,  1,  0           
A100, 1,  256,   512,  1,  1,  0            
A100, 1,  512,   512,  1,  1,  0           
A100, 1,  1024,  512,  1,  1,  0           
A100, 1,  2048,  512,  1,  1,  0           
A100, 1,  4096,  512,  1,  1,  0           
A100, 1,  128,   1024, 0,  0,  0  
A100, 1,  256,   1024, 0,  0,  0
A100, 1,  512,   1024, 0,  0,  0
A100, 1,  1024,  1024, 0,  0,  0
A100, 1,  2048,  1024, 0,  1,  0
A100, 1,  4096,  1024, 0,  1,  0
A100, 8,  128,   512,  1,  1,  0               
A100, 8,  256,   512,  1,  1,  0              
A100, 8,  512,   512,  1,  1,  0              
A100, 8,  1024,  512,  1,  1,  0              
A100, 8,  2048,  512,  1,  1,  0              
A100, 8,  4096,  512,  1,  1,  0              
A100, 8,  128,   1024, 0,  0,  0               
A100, 8,  256,   1024, 0,  0,  0                 
A100, 8,  512,   1024, 0,  0,  0                
A100, 8,  1024,  1024, 0,  0,  0                 
A100, 8,  2048,  1024, 0,  0,  0                
A100, 8,  4096,  1024, 0,  0,  0                 
A100, 16, 128,   512,  1,  1,  0            
A100, 16, 256,   512,  1,  1,  0            
A100, 16, 512,   512,  1,  1,  0           
A100, 16, 1024,  512,  1,  1,  0            
A100, 16, 2048,  512,  1,  1,  0            
A100, 16, 4096,  512,  1,  1,  0            
A100, 16, 128,   1024, 0,  0,  0          
A100, 16, 256,   1024, 0,  0,  0          
A100, 16, 512,   1024, 0,  0,  0          
A100, 16, 1024,  1024, 0,  0,  0          
A100, 16, 2048,  1024, 0,  0,  0          
A100, 16, 4096,  1024, 0,  0,  0 
4090, 1,  128,   512,  1,  1,  1
4090, 1,  256,   512,  1,  1,  1            
4090, 1,  512,   512,  1,  1,  1           
4090, 1,  1024,  512,  1,  1,  1           
4090, 1,  2048,  512,  1,  1,  0           
4090, 1,  4096,  512,  1,  1,  0           
4090, 1,  128,   1024, 0,  0,  0  
4090, 1,  256,   1024, 0,  0,  0
4090, 1,  512,   1024, 0,  0,  0
4090, 1,  1024,  1024, 1,  0,  0
4090, 1,  2048,  1024, 1,  1,  0
4090, 1,  4096,  1024, 1,  1,  0
4090, 8,  128,   512,  1,  1,  0               
4090, 8,  256,   512,  1,  1,  0              
4090, 8,  512,   512,  1,  1,  0              
4090, 8,  1024,  512,  1,  1,  0              
4090, 8,  2048,  512,  1,  1,  0              
4090, 8,  4096,  512,  1,  1,  0              
4090, 8,  128,   1024, 0,  0,  0               
4090, 8,  256,   1024, 0,  0,  0                 
4090, 8,  512,   1024, 0,  0,  0                
4090, 8,  1024,  1024, 0,  0,  0                 
4090, 8,  2048,  1024, 0,  0,  0                
4090, 8,  4096,  1024, 0,  0,  0                 
4090, 16, 128,   512,  1,  1,  0            
4090, 16, 256,   512,  1,  1,  0            
4090, 16, 512,   512,  1,  1,  0           
4090, 16, 1024,  512,  1,  1,  0            
4090, 16, 2048,  512,  1,  1,  0            
4090, 16, 4096,  512,  1,  1,  0            
4090, 16, 128,   1024, 0,  0,  0          
4090, 16, 256,   1024, 0,  0,  0          
4090, 16, 512,   1024, 0,  0,  0          
4090, 16, 1024,  1024, 0,  0,  0          
4090, 16, 2048,  1024, 0,  0,  0          
4090, 16, 4096,  1024, 0,  0,  0
