Script started on 2025-08-30 08:22:56+00:00 [TERM="xterm-256color" TTY="/dev/pts/4" COLUMNS="249" LINES="33"]
 PyTorch version: 2.7.0+cu126
 CUDA version 	: 12.6
 GPU cuda:(0) 	: NVIDIA GeForce RTX 4090 
 --------------------------------------------------
 [Benchmark] Attention unified benchmark for Causal_Mask
 bs:1 | h_num:12 | seq:128  |  FlashAttn2  : 0.089 ms / iter
 bs:1 | h_num:12 | seq:128  |  Torch Naive : 0.324 ms / iter
 bs:1 | h_num:12 | seq:128  |   FlexAttn   : 0.150 ms / iter
 bs:1 | h_num:12 | seq:128  |  ByteTrans   : 0.092 ms / iter
 bs:1 | h_num:12 | seq:128  |  Our Kernel  : 0.073 ms / iter

 bs:1 | h_num:12 | seq:256  |  FlashAttn2  : 0.085 ms / iter
 bs:1 | h_num:12 | seq:256  |  Torch Naive : 0.321 ms / iter
 bs:1 | h_num:12 | seq:256  |   FlexAttn   : 0.147 ms / iter
 bs:1 | h_num:12 | seq:256  |  ByteTrans   : 0.090 ms / iter
 bs:1 | h_num:12 | seq:256  |  Our Kernel  : 0.071 ms / iter

 bs:1 | h_num:12 | seq:512  |  FlashAttn2  : 0.096 ms / iter
 bs:1 | h_num:12 | seq:512  |  Torch Naive : 0.328 ms / iter
 bs:1 | h_num:12 | seq:512  |   FlexAttn   : 0.151 ms / iter
 bs:1 | h_num:12 | seq:512  |  ByteTrans   : 0.108 ms / iter
 bs:1 | h_num:12 | seq:512  |  Our Kernel  : 0.090 ms / iter

 bs:1 | h_num:12 | seq:1024  |  FlashAttn2  : 0.096 ms / iter
 bs:1 | h_num:12 | seq:1024  |  Torch Naive : 0.320 ms / iter
 bs:1 | h_num:12 | seq:1024  |   FlexAttn   : 0.150 ms / iter
 bs:1 | h_num:12 | seq:1024  |  ByteTrans   : 0.189 ms / iter
 bs:1 | h_num:12 | seq:1024  |  Our Kernel  : 0.079 ms / iter

 bs:1 | h_num:12 | seq:2048  |  FlashAttn2  : 0.124 ms / iter
 bs:1 | h_num:12 | seq:2048  |  Torch Naive : 0.994 ms / iter
 bs:1 | h_num:12 | seq:2048  |   FlexAttn   : 0.156 ms / iter
 bs:1 | h_num:12 | seq:2048  |  Our Kernel  : 0.097 ms / iter

 bs:1 | h_num:12 | seq:4096  |  FlashAttn2  : 0.283 ms / iter
 bs:1 | h_num:12 | seq:4096  |  Torch Naive : 4.652 ms / iter
 bs:1 | h_num:12 | seq:4096  |   FlexAttn   : 0.276 ms / iter
 bs:1 | h_num:12 | seq:4096  |  Our Kernel  : 0.237 ms / iter

 bs:8 | h_num:12 | seq:128  |  FlashAttn2  : 0.085 ms / iter
 bs:8 | h_num:12 | seq:128  |  Torch Naive : 0.394 ms / iter
 bs:8 | h_num:12 | seq:128  |   FlexAttn   : 0.150 ms / iter
 bs:8 | h_num:12 | seq:128  |  ByteTrans   : 0.092 ms / iter
 bs:8 | h_num:12 | seq:128  |  Our Kernel  : 0.073 ms / iter

 bs:8 | h_num:12 | seq:256  |  FlashAttn2  : 0.085 ms / iter
 bs:8 | h_num:12 | seq:256  |  Torch Naive : 0.392 ms / iter
 bs:8 | h_num:12 | seq:256  |   FlexAttn   : 0.152 ms / iter
 bs:8 | h_num:12 | seq:256  |  ByteTrans   : 0.091 ms / iter
 bs:8 | h_num:12 | seq:256  |  Our Kernel  : 0.073 ms / iter

 bs:8 | h_num:12 | seq:512  |  FlashAttn2  : 0.086 ms / iter
 bs:8 | h_num:12 | seq:512  |  Torch Naive : 0.478 ms / iter
 bs:8 | h_num:12 | seq:512  |   FlexAttn   : 0.151 ms / iter
 bs:8 | h_num:12 | seq:512  |  ByteTrans   : 0.326 ms / iter
 bs:8 | h_num:12 | seq:512  |  Our Kernel  : 0.073 ms / iter

 bs:8 | h_num:12 | seq:1024  |  FlashAttn2  : 0.133 ms / iter
 bs:8 | h_num:12 | seq:1024  |  Torch Naive : 2.147 ms / iter
 bs:8 | h_num:12 | seq:1024  |   FlexAttn   : 0.157 ms / iter
 bs:8 | h_num:12 | seq:1024  |  ByteTrans   : 0.986 ms / iter
 bs:8 | h_num:12 | seq:1024  |  Our Kernel  : 0.117 ms / iter

 bs:8 | h_num:12 | seq:2048  |  FlashAttn2  : 0.441 ms / iter
 bs:8 | h_num:12 | seq:2048  |  Torch Naive : 8.132 ms / iter
 bs:8 | h_num:12 | seq:2048  |   FlexAttn   : 0.432 ms / iter
 bs:8 | h_num:12 | seq:2048  |  Our Kernel  : 0.392 ms / iter

 bs:8 | h_num:12 | seq:4096  |  FlashAttn2  : 1.531 ms / iter
 bs:8 | h_num:12 | seq:4096  |  Torch Naive : 35.927 ms / iter
 bs:8 | h_num:12 | seq:4096  |   FlexAttn   : 1.497 ms / iter
 bs:8 | h_num:12 | seq:4096  |  Our Kernel  : 1.411 ms / iter

 bs:16 | h_num:12 | seq:128  |  FlashAttn2  : 0.086 ms / iter
 bs:16 | h_num:12 | seq:128  |  Torch Naive : 0.393 ms / iter
 bs:16 | h_num:12 | seq:128  |   FlexAttn   : 0.152 ms / iter
 bs:16 | h_num:12 | seq:128  |  ByteTrans   : 0.093 ms / iter
 bs:16 | h_num:12 | seq:128  |  Our Kernel  : 0.073 ms / iter

 bs:16 | h_num:12 | seq:256  |  FlashAttn2  : 0.086 ms / iter
 bs:16 | h_num:12 | seq:256  |  Torch Naive : 0.397 ms / iter
 bs:16 | h_num:12 | seq:256  |   FlexAttn   : 0.153 ms / iter
 bs:16 | h_num:12 | seq:256  |  ByteTrans   : 0.093 ms / iter
 bs:16 | h_num:12 | seq:256  |  Our Kernel  : 0.073 ms / iter

 bs:16 | h_num:12 | seq:512  |  FlashAttn2  : 0.087 ms / iter
 bs:16 | h_num:12 | seq:512  |  Torch Naive : 1.143 ms / iter
 bs:16 | h_num:12 | seq:512  |   FlexAttn   : 0.152 ms / iter
 bs:16 | h_num:12 | seq:512  |  ByteTrans   : 0.602 ms / iter
 bs:16 | h_num:12 | seq:512  |  Our Kernel  : 0.075 ms / iter

 bs:16 | h_num:12 | seq:1024  |  FlashAttn2  : 0.241 ms / iter
 bs:16 | h_num:12 | seq:1024  |  Torch Naive : 4.256 ms / iter
 bs:16 | h_num:12 | seq:1024  |   FlexAttn   : 0.243 ms / iter
 bs:16 | h_num:12 | seq:1024  |  ByteTrans   : 1.906 ms / iter
 bs:16 | h_num:12 | seq:1024  |  Our Kernel  : 0.213 ms / iter

 bs:16 | h_num:12 | seq:2048  |  FlashAttn2  : 0.801 ms / iter
 bs:16 | h_num:12 | seq:2048  |  Torch Naive : 16.170 ms / iter
 bs:16 | h_num:12 | seq:2048  |   FlexAttn   : 0.786 ms / iter
 bs:16 | h_num:12 | seq:2048  |  Our Kernel  : 0.732 ms / iter

 bs:16 | h_num:12 | seq:4096  |  FlashAttn2  : 2.941 ms / iter
 bs:16 | h_num:12 | seq:4096  |  Torch Naive : 71.568 ms / iter
 bs:16 | h_num:12 | seq:4096  |   FlexAttn   : 2.850 ms / iter
 bs:16 | h_num:12 | seq:4096  |  Our Kernel  : 2.836 ms / iter


Script done on 2025-08-30 08:27:16+00:00 [COMMAND_EXIT_CODE="0"]
