Script started on 2025-08-30 08:27:16+00:00 [TERM="xterm-256color" TTY="/dev/pts/4" COLUMNS="249" LINES="7"]
 PyTorch version: 2.7.0+cu126
 CUDA version 	: 12.6
 GPU cuda:(0) 	: NVIDIA GeForce RTX 4090 
 --------------------------------------------------
 [Benchmark] Attention unified benchmark for Sliding_Mask
 bs:1 | h_num:12 | seq:128  |  FlashAttn2  : 0.086 ms / iter
 bs:1 | h_num:12 | seq:128  |  Torch Naive : 0.322 ms / iter
 bs:1 | h_num:12 | seq:128  |   FlexAttn   : 0.168 ms / iter
 bs:1 | h_num:12 | seq:128  |  ByteTrans   : 0.116 ms / iter
 bs:1 | h_num:12 | seq:128  |  Our Kernel  : 0.089 ms / iter

 bs:1 | h_num:12 | seq:256  |  FlashAttn2  : 0.085 ms / iter
 bs:1 | h_num:12 | seq:256  |  Torch Naive : 0.322 ms / iter
 bs:1 | h_num:12 | seq:256  |   FlexAttn   : 0.164 ms / iter
 bs:1 | h_num:12 | seq:256  |  ByteTrans   : 0.088 ms / iter
 bs:1 | h_num:12 | seq:256  |  Our Kernel  : 0.071 ms / iter

 bs:1 | h_num:12 | seq:512  |  FlashAttn2  : 0.093 ms / iter
 bs:1 | h_num:12 | seq:512  |  Torch Naive : 0.326 ms / iter
 bs:1 | h_num:12 | seq:512  |   FlexAttn   : 0.155 ms / iter
 bs:1 | h_num:12 | seq:512  |  ByteTrans   : 0.106 ms / iter
 bs:1 | h_num:12 | seq:512  |  Our Kernel  : 0.081 ms / iter

 bs:1 | h_num:12 | seq:1024  |  FlashAttn2  : 0.094 ms / iter
 bs:1 | h_num:12 | seq:1024  |  Torch Naive : 0.316 ms / iter
 bs:1 | h_num:12 | seq:1024  |   FlexAttn   : 0.166 ms / iter
 bs:1 | h_num:12 | seq:1024  |  ByteTrans   : 0.189 ms / iter
 bs:1 | h_num:12 | seq:1024  |  Our Kernel  : 0.078 ms / iter

 bs:1 | h_num:12 | seq:2048  |  FlashAttn2  : 0.124 ms / iter
 bs:1 | h_num:12 | seq:2048  |  Torch Naive : 0.996 ms / iter
 bs:1 | h_num:12 | seq:2048  |   FlexAttn   : 0.154 ms / iter
 bs:1 | h_num:12 | seq:2048  |  Our Kernel  : 0.072 ms / iter

 bs:1 | h_num:12 | seq:4096  |  FlashAttn2  : 0.285 ms / iter
 bs:1 | h_num:12 | seq:4096  |  Torch Naive : 4.657 ms / iter
 bs:1 | h_num:12 | seq:4096  |   FlexAttn   : 0.283 ms / iter
 bs:1 | h_num:12 | seq:4096  |  Our Kernel  : 0.073 ms / iter

 bs:8 | h_num:12 | seq:128  |  FlashAttn2  : 0.086 ms / iter
 bs:8 | h_num:12 | seq:128  |  Torch Naive : 0.391 ms / iter
 bs:8 | h_num:12 | seq:128  |   FlexAttn   : 0.155 ms / iter
 bs:8 | h_num:12 | seq:128  |  ByteTrans   : 0.089 ms / iter
 bs:8 | h_num:12 | seq:128  |  Our Kernel  : 0.073 ms / iter

 bs:8 | h_num:12 | seq:256  |  FlashAttn2  : 0.085 ms / iter
 bs:8 | h_num:12 | seq:256  |  Torch Naive : 0.392 ms / iter
 bs:8 | h_num:12 | seq:256  |   FlexAttn   : 0.154 ms / iter
 bs:8 | h_num:12 | seq:256  |  ByteTrans   : 0.089 ms / iter
 bs:8 | h_num:12 | seq:256  |  Our Kernel  : 0.074 ms / iter

 bs:8 | h_num:12 | seq:512  |  FlashAttn2  : 0.085 ms / iter
 bs:8 | h_num:12 | seq:512  |  Torch Naive : 0.480 ms / iter
 bs:8 | h_num:12 | seq:512  |   FlexAttn   : 0.150 ms / iter
 bs:8 | h_num:12 | seq:512  |  ByteTrans   : 0.356 ms / iter
 bs:8 | h_num:12 | seq:512  |  Our Kernel  : 0.072 ms / iter

 bs:8 | h_num:12 | seq:1024  |  FlashAttn2  : 0.134 ms / iter
 bs:8 | h_num:12 | seq:1024  |  Torch Naive : 2.149 ms / iter
 bs:8 | h_num:12 | seq:1024  |   FlexAttn   : 0.173 ms / iter
 bs:8 | h_num:12 | seq:1024  |  ByteTrans   : 1.135 ms / iter
 bs:8 | h_num:12 | seq:1024  |  Our Kernel  : 0.072 ms / iter

 bs:8 | h_num:12 | seq:2048  |  FlashAttn2  : 0.438 ms / iter
 bs:8 | h_num:12 | seq:2048  |  Torch Naive : 8.143 ms / iter
 bs:8 | h_num:12 | seq:2048  |   FlexAttn   : 0.503 ms / iter
 bs:8 | h_num:12 | seq:2048  |  Our Kernel  : 0.121 ms / iter

 bs:8 | h_num:12 | seq:4096  |  FlashAttn2  : 1.540 ms / iter
 bs:8 | h_num:12 | seq:4096  |  Torch Naive : 35.908 ms / iter
 bs:8 | h_num:12 | seq:4096  |   FlexAttn   : 1.631 ms / iter
 bs:8 | h_num:12 | seq:4096  |  Our Kernel  : 0.239 ms / iter

 bs:16 | h_num:12 | seq:128  |  FlashAttn2  : 0.108 ms / iter
 bs:16 | h_num:12 | seq:128  |  Torch Naive : 0.500 ms / iter
