Script started on 2025-08-31 06:59:22+00:00 [COMMAND="python benchmk_attn_unified.py --mask_id=1" TERM="xterm-256color" TTY="/dev/pts/128" COLUMNS="312" LINES="46"]
 PyTorch version: 2.6.0a0+df5bbc09d1.nv24.12
 CUDA version 	: 12.6
 GPU cuda:(0) 	: NVIDIA A100-SXM4-40GB 
 --------------------------------------------------
 [Benchmark] Attention unified benchmark for Sliding_Mask
 bs:1 | h_num:12 | seq:128  |  FlashAttn2  : 0.057 ms / iter
 bs:1 | h_num:12 | seq:128  |  Torch Naive : 0.227 ms / iter
 bs:1 | h_num:12 | seq:128  |   FlexAttn   : 0.089 ms / iter
 bs:1 | h_num:12 | seq:128  |  ByteTrans   : 0.067 ms / iter
 bs:1 | h_num:12 | seq:128  |  Our Kernel  : 0.059 ms / iter

 bs:1 | h_num:12 | seq:256  |  FlashAttn2  : 0.070 ms / iter
 bs:1 | h_num:12 | seq:256  |  Torch Naive : 0.229 ms / iter
 bs:1 | h_num:12 | seq:256  |   FlexAttn   : 0.111 ms / iter
 bs:1 | h_num:12 | seq:256  |  ByteTrans   : 0.079 ms / iter
 bs:1 | h_num:12 | seq:256  |  Our Kernel  : 0.065 ms / iter

 bs:1 | h_num:12 | seq:512  |  FlashAttn2  : 0.065 ms / iter
 bs:1 | h_num:12 | seq:512  |  Torch Naive : 0.227 ms / iter
 bs:1 | h_num:12 | seq:512  |   FlexAttn   : 0.082 ms / iter
 bs:1 | h_num:12 | seq:512  |  ByteTrans   : 0.202 ms / iter
 bs:1 | h_num:12 | seq:512  |  Our Kernel  : 0.053 ms / iter

 bs:1 | h_num:12 | seq:1024  |  FlashAttn2  : 0.057 ms / iter
 bs:1 | h_num:12 | seq:1024  |  Torch Naive : 0.305 ms / iter
 bs:1 | h_num:12 | seq:1024  |   FlexAttn   : 0.096 ms / iter
 bs:1 | h_num:12 | seq:1024  |  ByteTrans   : 0.407 ms / iter
 bs:1 | h_num:12 | seq:1024  |  Our Kernel  : 0.064 ms / iter

 bs:1 | h_num:12 | seq:2048  |  FlashAttn2  : 0.098 ms / iter
 bs:1 | h_num:12 | seq:2048  |  Torch Naive : 1.497 ms / iter
 bs:1 | h_num:12 | seq:2048  |   FlexAttn   : 0.123 ms / iter
 bs:1 | h_num:12 | seq:2048  |  Our Kernel  : 0.049 ms / iter

 bs:1 | h_num:12 | seq:4096  |  FlashAttn2  : 0.313 ms / iter
 bs:1 | h_num:12 | seq:4096  |  Torch Naive : 4.584 ms / iter
 bs:1 | h_num:12 | seq:4096  |   FlexAttn   : 0.346 ms / iter
 bs:1 | h_num:12 | seq:4096  |  Our Kernel  : 0.047 ms / iter

 bs:8 | h_num:12 | seq:128  |  FlashAttn2  : 0.056 ms / iter
 bs:8 | h_num:12 | seq:128  |  Torch Naive : 0.264 ms / iter
 bs:8 | h_num:12 | seq:128  |   FlexAttn   : 0.081 ms / iter
 bs:8 | h_num:12 | seq:128  |  ByteTrans   : 0.055 ms / iter
 bs:8 | h_num:12 | seq:128  |  Our Kernel  : 0.046 ms / iter

 bs:8 | h_num:12 | seq:256  |  FlashAttn2  : 0.055 ms / iter
 bs:8 | h_num:12 | seq:256  |  Torch Naive : 0.269 ms / iter
 bs:8 | h_num:12 | seq:256  |   FlexAttn   : 0.081 ms / iter
 bs:8 | h_num:12 | seq:256  |  ByteTrans   : 0.089 ms / iter
 bs:8 | h_num:12 | seq:256  |  Our Kernel  : 0.047 ms / iter

 bs:8 | h_num:12 | seq:512  |  FlashAttn2  : 0.059 ms / iter
 bs:8 | h_num:12 | seq:512  |  Torch Naive : 0.623 ms / iter
 bs:8 | h_num:12 | seq:512  |   FlexAttn   : 0.086 ms / iter
 bs:8 | h_num:12 | seq:512  |  ByteTrans   : 0.659 ms / iter
 bs:8 | h_num:12 | seq:512  |  Our Kernel  : 0.048 ms / iter

 bs:8 | h_num:12 | seq:1024  |  FlashAttn2  : 0.153 ms / iter
 bs:8 | h_num:12 | seq:1024  |  Torch Naive : 2.033 ms / iter
 bs:8 | h_num:12 | seq:1024  |   FlexAttn   : 0.216 ms / iter
 bs:8 | h_num:12 | seq:1024  |  ByteTrans   : 2.106 ms / iter
 bs:8 | h_num:12 | seq:1024  |  Our Kernel  : 0.078 ms / iter

 bs:8 | h_num:12 | seq:2048  |  FlashAttn2  : 0.411 ms / iter
 bs:8 | h_num:12 | seq:2048  |  Torch Naive : 9.547 ms / iter
 bs:8 | h_num:12 | seq:2048  |   FlexAttn   : 0.625 ms / iter
 bs:8 | h_num:12 | seq:2048  |  Our Kernel  : 0.139 ms / iter

 bs:8 | h_num:12 | seq:4096  |  FlashAttn2  : 1.580 ms / iter
 bs:8 | h_num:12 | seq:4096  |  Torch Naive : 31.058 ms / iter
 bs:8 | h_num:12 | seq:4096  |   FlexAttn   : 2.034 ms / iter
 bs:8 | h_num:12 | seq:4096  |  Our Kernel  : 0.260 ms / iter

 bs:16 | h_num:12 | seq:128  |  FlashAttn2  : 0.055 ms / iter
 bs:16 | h_num:12 | seq:128  |  Torch Naive : 0.267 ms / iter
 bs:16 | h_num:12 | seq:128  |   FlexAttn   : 0.082 ms / iter
 bs:16 | h_num:12 | seq:128  |  ByteTrans   : 0.058 ms / iter
 bs:16 | h_num:12 | seq:128  |  Our Kernel  : 0.047 ms / iter

 bs:16 | h_num:12 | seq:256  |  FlashAttn2  : 0.065 ms / iter
 bs:16 | h_num:12 | seq:256  |  Torch Naive : 0.394 ms / iter
 bs:16 | h_num:12 | seq:256  |   FlexAttn   : 0.082 ms / iter
 bs:16 | h_num:12 | seq:256  |  ByteTrans   : 0.174 ms / iter
 bs:16 | h_num:12 | seq:256  |  Our Kernel  : 0.054 ms / iter

 bs:16 | h_num:12 | seq:512  |  FlashAttn2  : 0.100 ms / iter
 bs:16 | h_num:12 | seq:512  |  Torch Naive : 1.157 ms / iter
 bs:16 | h_num:12 | seq:512  |   FlexAttn   : 0.142 ms / iter
 bs:16 | h_num:12 | seq:512  |  ByteTrans   : 1.162 ms / iter
 bs:16 | h_num:12 | seq:512  |  Our Kernel  : 0.074 ms / iter

 bs:16 | h_num:12 | seq:1024  |  FlashAttn2  : 0.267 ms / iter
 bs:16 | h_num:12 | seq:1024  |  Torch Naive : 3.729 ms / iter
 bs:16 | h_num:12 | seq:1024  |   FlexAttn   : 0.389 ms / iter
 bs:16 | h_num:12 | seq:1024  |  ByteTrans   : 3.959 ms / iter
 bs:16 | h_num:12 | seq:1024  |  Our Kernel  : 0.131 ms / iter

 bs:16 | h_num:12 | seq:2048  |  FlashAttn2  : 0.848 ms / iter
 bs:16 | h_num:12 | seq:2048  |  Torch Naive : 18.787 ms / iter
 bs:16 | h_num:12 | seq:2048  |   FlexAttn   : 1.178 ms / iter
 bs:16 | h_num:12 | seq:2048  |  Our Kernel  : 0.255 ms / iter

 bs:16 | h_num:12 | seq:4096  |  FlashAttn2  : 3.048 ms / iter
 bs:16 | h_num:12 | seq:4096  |  Torch Naive : 61.909 ms / iter
 bs:16 | h_num:12 | seq:4096  |   FlexAttn   : 3.938 ms / iter
 bs:16 | h_num:12 | seq:4096  |  Our Kernel  : 0.489 ms / iter


Script done on 2025-08-31 07:00:35+00:00 [COMMAND_EXIT_CODE="0"]
