Script started on 2025-08-31 07:00:35+00:00 [COMMAND="python benchmk_attn_unified.py --mask_id=2" TERM="xterm-256color" TTY="/dev/pts/128" COLUMNS="312" LINES="46"]
 PyTorch version: 2.6.0a0+df5bbc09d1.nv24.12
 CUDA version 	: 12.6
 GPU cuda:(0) 	: NVIDIA A100-SXM4-40GB 
 --------------------------------------------------
 [Benchmark] Attention unified benchmark for Longformer_Mask
 bs:1 | h_num:12 | seq:128  |  FlashAttn2  : 0.065 ms / iter
 bs:1 | h_num:12 | seq:128  |  Torch Naive : 0.157 ms / iter
 bs:1 | h_num:12 | seq:128  |   FlexAttn   : 0.083 ms / iter
 bs:1 | h_num:12 | seq:128  |  ByteTrans   : 0.055 ms / iter
 bs:1 | h_num:12 | seq:128  |  Our Kernel  : 0.048 ms / iter

 bs:1 | h_num:12 | seq:256  |  FlashAttn2  : 0.069 ms / iter
 bs:1 | h_num:12 | seq:256  |  Torch Naive : 0.172 ms / iter
 bs:1 | h_num:12 | seq:256  |   FlexAttn   : 0.085 ms / iter
 bs:1 | h_num:12 | seq:256  |  ByteTrans   : 0.057 ms / iter
 bs:1 | h_num:12 | seq:256  |  Our Kernel  : 0.047 ms / iter

 bs:1 | h_num:12 | seq:512  |  FlashAttn2  : 0.065 ms / iter
 bs:1 | h_num:12 | seq:512  |  Torch Naive : 0.155 ms / iter
 bs:1 | h_num:12 | seq:512  |   FlexAttn   : 0.144 ms / iter
 bs:1 | h_num:12 | seq:512  |  ByteTrans   : 0.188 ms / iter
 bs:1 | h_num:12 | seq:512  |  Our Kernel  : 0.087 ms / iter

 bs:1 | h_num:12 | seq:1024  |  FlashAttn2  : 0.057 ms / iter
 bs:1 | h_num:12 | seq:1024  |  Torch Naive : 0.191 ms / iter
 bs:1 | h_num:12 | seq:1024  |   FlexAttn   : 0.082 ms / iter
 bs:1 | h_num:12 | seq:1024  |  ByteTrans   : 0.391 ms / iter
 bs:1 | h_num:12 | seq:1024  |  Our Kernel  : 0.047 ms / iter

 bs:1 | h_num:12 | seq:2048  |  FlashAttn2  : 0.111 ms / iter
