Script started on 2025-08-28 06:33:17+00:00 [TERM="xterm" TTY="/dev/pts/1" COLUMNS="287" LINES="17"]
 PyTorch version: 2.8.0+cu126
 CUDA version 	: 12.6
 GPU cuda:(0) 	: NVIDIA A100-PCIE-40GB 
 --------------------------------------------------
 [Benchmark] Attention unified benchmark for Longformer_Mask
 bs:1 | h_num:12 | seq:128  |  FlashAttn2  : 0.063 ms / iter
 bs:1 | h_num:12 | seq:128  |  Torch Naive : 0.166 ms / iter
 bs:1 | h_num:12 | seq:128  |   FlexAttn   : 0.132 ms / iter
 bs:1 | h_num:12 | seq:128  |  ByteTrans   : 0.078 ms / iter
 bs:1 | h_num:12 | seq:128  |  Our Kernel  : 0.076 ms / iter

 bs:1 | h_num:12 | seq:256  |  FlashAttn2  : 0.075 ms / iter
 bs:1 | h_num:12 | seq:256  |  Torch Naive : 0.153 ms / iter
 bs:1 | h_num:12 | seq:256  |   FlexAttn   : 0.111 ms / iter
 bs:1 | h_num:12 | seq:256  |  ByteTrans   : 0.083 ms / iter
 bs:1 | h_num:12 | seq:256  |  Our Kernel  : 0.127 ms / iter

 bs:1 | h_num:12 | seq:512  |  FlashAttn2  : 0.121 ms / iter
 bs:1 | h_num:12 | seq:512  |  Torch Naive : 0.209 ms / iter
 bs:1 | h_num:12 | seq:512  |   FlexAttn   : 0.142 ms / iter
 bs:1 | h_num:12 | seq:512  |  ByteTrans   : 0.891 ms / iter
 bs:1 | h_num:12 | seq:512  |  Our Kernel  : 0.235 ms / iter

 bs:1 | h_num:12 | seq:1024  |  FlashAttn2  : 0.190 ms / iter
 bs:1 | h_num:12 | seq:1024  |  Torch Naive : 0.748 ms / iter
 bs:1 | h_num:12 | seq:1024  |   FlexAttn   : 0.239 ms / iter
 bs:1 | h_num:12 | seq:1024  |  ByteTrans   : 1.923 ms / iter
 bs:1 | h_num:12 | seq:1024  |  Our Kernel  : 0.477 ms / iter

 bs:1 | h_num:12 | seq:2048  |  FlashAttn2  : 0.561 ms / iter
