Script started on 2025-08-28 06:39:01+00:00 [TERM="xterm" TTY="/dev/pts/1" COLUMNS="287" LINES="17"]
 PyTorch version: 2.8.0+cu126
 CUDA version 	: 12.6
 GPU cuda:(0) 	: NVIDIA A100-PCIE-40GB 
 --------------------------------------------------
 [Benchmark] Attention unified benchmark for BigBird_Mask
 bs:1 | h_num:12 | seq:128  |  FlashAttn2  : 0.059 ms / iter
 bs:1 | h_num:12 | seq:128  |  Torch Naive : 0.169 ms / iter
 bs:1 | h_num:12 | seq:128  |   FlexAttn   : 0.118 ms / iter
 bs:1 | h_num:12 | seq:128  |  ByteTrans   : 0.077 ms / iter
 bs:1 | h_num:12 | seq:128  |  Our Kernel  : 0.075 ms / iter

 bs:1 | h_num:12 | seq:256  |  FlashAttn2  : 0.075 ms / iter
 bs:1 | h_num:12 | seq:256  |  Torch Naive : 0.152 ms / iter
 bs:1 | h_num:12 | seq:256  |   FlexAttn   : 0.111 ms / iter
 bs:1 | h_num:12 | seq:256  |  ByteTrans   : 0.084 ms / iter
 bs:1 | h_num:12 | seq:256  |  Our Kernel  : 0.128 ms / iter

 bs:1 | h_num:12 | seq:512  |  FlashAttn2  : 0.121 ms / iter
 bs:1 | h_num:12 | seq:512  |  Torch Naive : 0.208 ms / iter
 bs:1 | h_num:12 | seq:512  |   FlexAttn   : 0.173 ms / iter
 bs:1 | h_num:12 | seq:512  |  ByteTrans   : 0.926 ms / iter
 bs:1 | h_num:12 | seq:512  |  Our Kernel  : 0.234 ms / iter

 bs:1 | h_num:12 | seq:1024  |  FlashAttn2  : 0.193 ms / iter
 bs:1 | h_num:12 | seq:1024  |  Torch Naive : 0.749 ms / iter
 bs:1 | h_num:12 | seq:1024  |   FlexAttn   : 0.266 ms / iter
 bs:1 | h_num:12 | seq:1024  |  ByteTrans   : 1.962 ms / iter
 bs:1 | h_num:12 | seq:1024  |  Our Kernel  : 0.472 ms / iter

 bs:1 | h_num:12 | seq:2048  |  FlashAttn2  : 0.562 ms / iter
 bs:1 | h_num:12 | seq:2048  |  Torch Naive : 2.803 ms / iter
 bs:1 | h_num:12 | seq:2048  |   FlexAttn   : 0.628 ms / iter
 bs:1 | h_num:12 | seq:2048  |  Our Kernel  : 1.566 ms / iter

 bs:1 | h_num:12 | seq:4096  |  FlashAttn2  : 2.123 ms / iter
 bs:1 | h_num:12 | seq:4096  |  Torch Naive : 11.786 ms / iter
 bs:1 | h_num:12 | seq:4096  |   FlexAttn   : 1.964 ms / iter
 bs:1 | h_num:12 | seq:4096  |  Our Kernel  : 2.919 ms / iter

 bs:8 | h_num:12 | seq:128  |  FlashAttn2  : 0.058 ms / iter
 bs:8 | h_num:12 | seq:128  |  Torch Naive : 0.277 ms / iter
 bs:8 | h_num:12 | seq:128  |   FlexAttn   : 0.110 ms / iter
 bs:8 | h_num:12 | seq:128  |  ByteTrans   : 0.138 ms / iter
 bs:8 | h_num:12 | seq:128  |  Our Kernel  : 0.111 ms / iter

 bs:8 | h_num:12 | seq:256  |  FlashAttn2  : 0.103 ms / iter
 bs:8 | h_num:12 | seq:256  |  Torch Naive : 0.620 ms / iter
 bs:8 | h_num:12 | seq:256  |   FlexAttn   : 0.120 ms / iter
 bs:8 | h_num:12 | seq:256  |  ByteTrans   : 0.408 ms / iter
 bs:8 | h_num:12 | seq:256  |  Our Kernel  : 0.291 ms / iter

 bs:8 | h_num:12 | seq:512  |  FlashAttn2  : 0.315 ms / iter
 bs:8 | h_num:12 | seq:512  |  Torch Naive : 1.531 ms / iter
 bs:8 | h_num:12 | seq:512  |   FlexAttn   : 0.442 ms / iter
 bs:8 | h_num:12 | seq:512  |  ByteTrans   : 3.140 ms / iter
 bs:8 | h_num:12 | seq:512  |  Our Kernel  : 0.702 ms / iter

