Script started on 2025-08-28 03:04:37+00:00 [TERM="xterm-256color" TTY="/dev/pts/19" COLUMNS="287" LINES="17"]
 PyTorch version: 2.7.0+cu126
 CUDA version 	: 12.6
 GPU cuda:(0) 	: NVIDIA GeForce RTX 4090 
 --------------------------------------------------
 [Benchmark] Attention unified benchmark for Dilated_Mask
 bs:1 | h_num:12 | seq:128  |  FlashAttn2  : 0.101 ms / iter
 bs:1 | h_num:12 | seq:128  |  Torch Naive : 0.260 ms / iter
 bs:1 | h_num:12 | seq:128  |   FlexAttn   : 0.167 ms / iter
 bs:1 | h_num:12 | seq:128  |  ByteTrans   : 0.115 ms / iter
 bs:1 | h_num:12 | seq:128  |  Our Kernel  : 0.088 ms / iter

 bs:1 | h_num:12 | seq:256  |  FlashAttn2  : 0.103 ms / iter
 bs:1 | h_num:12 | seq:256  |  Torch Naive : 0.265 ms / iter
 bs:1 | h_num:12 | seq:256  |   FlexAttn   : 0.171 ms / iter
 bs:1 | h_num:12 | seq:256  |  ByteTrans   : 0.115 ms / iter
 bs:1 | h_num:12 | seq:256  |  Our Kernel  : 0.089 ms / iter

 bs:1 | h_num:12 | seq:512  |  FlashAttn2  : 0.125 ms / iter
 bs:1 | h_num:12 | seq:512  |  Torch Naive : 0.286 ms / iter
 bs:1 | h_num:12 | seq:512  |   FlexAttn   : 0.185 ms / iter
 bs:1 | h_num:12 | seq:512  |  ByteTrans   : 0.221 ms / iter
 bs:1 | h_num:12 | seq:512  |  Our Kernel  : 0.097 ms / iter

 bs:1 | h_num:12 | seq:1024  |  FlashAttn2  : 0.152 ms / iter
 bs:1 | h_num:12 | seq:1024  |  Torch Naive : 0.331 ms / iter
 bs:1 | h_num:12 | seq:1024  |   FlexAttn   : 0.199 ms / iter
 bs:1 | h_num:12 | seq:1024  |  ByteTrans   : 0.354 ms / iter
 bs:1 | h_num:12 | seq:1024  |  Our Kernel  : 0.105 ms / iter

 bs:1 | h_num:12 | seq:2048  |  FlashAttn2  : 0.217 ms / iter
 bs:1 | h_num:12 | seq:2048  |  Torch Naive : 0.988 ms / iter
 bs:1 | h_num:12 | seq:2048  |   FlexAttn   : 0.289 ms / iter
 bs:1 | h_num:12 | seq:2048  |  Our Kernel  : 0.097 ms / iter

 bs:1 | h_num:12 | seq:4096  |  FlashAttn2  : 0.452 ms / iter
 bs:1 | h_num:12 | seq:4096  |  Torch Naive : 3.342 ms / iter
 bs:1 | h_num:12 | seq:4096  |   FlexAttn   : 0.442 ms / iter
 bs:1 | h_num:12 | seq:4096  |  Our Kernel  : 0.105 ms / iter

 bs:8 | h_num:12 | seq:128  |  FlashAttn2  : 0.099 ms / iter
 bs:8 | h_num:12 | seq:128  |  Torch Naive : 0.370 ms / iter
 bs:8 | h_num:12 | seq:128  |   FlexAttn   : 0.167 ms / iter
 bs:8 | h_num:12 | seq:128  |  ByteTrans   : 0.120 ms / iter
 bs:8 | h_num:12 | seq:128  |  Our Kernel  : 0.093 ms / iter

 bs:8 | h_num:12 | seq:256  |  FlashAttn2  : 0.112 ms / iter
 bs:8 | h_num:12 | seq:256  |  Torch Naive : 0.414 ms / iter
 bs:8 | h_num:12 | seq:256  |   FlexAttn   : 0.183 ms / iter
 bs:8 | h_num:12 | seq:256  |  ByteTrans   : 0.145 ms / iter
 bs:8 | h_num:12 | seq:256  |  Our Kernel  : 0.102 ms / iter

 bs:8 | h_num:12 | seq:512  |  FlashAttn2  : 0.146 ms / iter
 bs:8 | h_num:12 | seq:512  |  Torch Naive : 0.683 ms / iter
 bs:8 | h_num:12 | seq:512  |   FlexAttn   : 0.217 ms / iter
 bs:8 | h_num:12 | seq:512  |  ByteTrans   : 0.486 ms / iter
 bs:8 | h_num:12 | seq:512  |  Our Kernel  : 0.117 ms / iter

 bs:8 | h_num:12 | seq:1024  |  FlashAttn2  : 0.280 ms / iter
 bs:8 | h_num:12 | seq:1024  |  Torch Naive : 2.064 ms / iter
 bs:8 | h_num:12 | seq:1024  |   FlexAttn   : 0.336 ms / iter
 bs:8 | h_num:12 | seq:1024  |  ByteTrans   : 1.270 ms / iter
 bs:8 | h_num:12 | seq:1024  |  Our Kernel  : 0.148 ms / iter

 bs:8 | h_num:12 | seq:2048  |  FlashAttn2  : 0.796 ms / iter
 bs:8 | h_num:12 | seq:2048  |  Torch Naive : 6.738 ms / iter
