Script started on 2025-08-28 06:45:11+00:00 [TERM="xterm" TTY="/dev/pts/1" COLUMNS="287" LINES="17"]
 PyTorch version: 2.8.0+cu126
 CUDA version 	: 12.6
 GPU cuda:(0) 	: NVIDIA A100-PCIE-40GB 
 --------------------------------------------------
 [Benchmark] Attention unified benchmark for Dilated_Mask
 bs:1 | h_num:12 | seq:128  |  FlashAttn2  : 0.059 ms / iter
 bs:1 | h_num:12 | seq:128  |  Torch Naive : 0.170 ms / iter
 bs:1 | h_num:12 | seq:128  |   FlexAttn   : 0.117 ms / iter
 bs:1 | h_num:12 | seq:128  |  ByteTrans   : 0.078 ms / iter
 bs:1 | h_num:12 | seq:128  |  Our Kernel  : 0.056 ms / iter

 bs:1 | h_num:12 | seq:256  |  FlashAttn2  : 0.075 ms / iter
 bs:1 | h_num:12 | seq:256  |  Torch Naive : 0.166 ms / iter
 bs:1 | h_num:12 | seq:256  |   FlexAttn   : 0.113 ms / iter
 bs:1 | h_num:12 | seq:256  |  ByteTrans   : 0.084 ms / iter
 bs:1 | h_num:12 | seq:256  |  Our Kernel  : 0.054 ms / iter

 bs:1 | h_num:12 | seq:512  |  FlashAttn2  : 0.121 ms / iter
 bs:1 | h_num:12 | seq:512  |  Torch Naive : 0.210 ms / iter
 bs:1 | h_num:12 | seq:512  |   FlexAttn   : 0.131 ms / iter
 bs:1 | h_num:12 | seq:512  |  ByteTrans   : 1.009 ms / iter
 bs:1 | h_num:12 | seq:512  |  Our Kernel  : 0.059 ms / iter

 bs:1 | h_num:12 | seq:1024  |  FlashAttn2  : 0.193 ms / iter
 bs:1 | h_num:12 | seq:1024  |  Torch Naive : 0.750 ms / iter
 bs:1 | h_num:12 | seq:1024  |   FlexAttn   : 0.220 ms / iter
 bs:1 | h_num:12 | seq:1024  |  ByteTrans   : 2.062 ms / iter
 bs:1 | h_num:12 | seq:1024  |  Our Kernel  : 0.063 ms / iter

 bs:1 | h_num:12 | seq:2048  |  FlashAttn2  : 0.563 ms / iter
 bs:1 | h_num:12 | seq:2048  |  Torch Naive : 2.804 ms / iter
 bs:1 | h_num:12 | seq:2048  |   FlexAttn   : 0.605 ms / iter
 bs:1 | h_num:12 | seq:2048  |  Our Kernel  : 0.113 ms / iter

 bs:1 | h_num:12 | seq:4096  |  FlashAttn2  : 2.124 ms / iter
 bs:1 | h_num:12 | seq:4096  |  Torch Naive : 11.785 ms / iter
 bs:1 | h_num:12 | seq:4096  |   FlexAttn   : 1.736 ms / iter
 bs:1 | h_num:12 | seq:4096  |  Our Kernel  : 0.172 ms / iter

 bs:8 | h_num:12 | seq:128  |  FlashAttn2  : 0.064 ms / iter
 bs:8 | h_num:12 | seq:128  |  Torch Naive : 0.279 ms / iter
 bs:8 | h_num:12 | seq:128  |   FlexAttn   : 0.125 ms / iter
 bs:8 | h_num:12 | seq:128  |  ByteTrans   : 0.138 ms / iter
 bs:8 | h_num:12 | seq:128  |  Our Kernel  : 0.074 ms / iter

 bs:8 | h_num:12 | seq:256  |  FlashAttn2  : 0.103 ms / iter
 bs:8 | h_num:12 | seq:256  |  Torch Naive : 0.623 ms / iter
 bs:8 | h_num:12 | seq:256  |   FlexAttn   : 0.118 ms / iter
 bs:8 | h_num:12 | seq:256  |  ByteTrans   : 0.408 ms / iter
 bs:8 | h_num:12 | seq:256  |  Our Kernel  : 0.141 ms / iter

 bs:8 | h_num:12 | seq:512  |  FlashAttn2  : 0.315 ms / iter
