e2e bert_base | bs:1 | seq:128  |  Torch Native    : 4.803 ms / iter
e2e bert_base | bs:1 | seq:128  |  STOF MHA        : 3.341 ms / iter
e2e bert_base | bs:1 | seq:128  |  STOF Compiled   : 2.301 ms / iter
e2e bert_base | bs:1 | seq:128  |  STOF            : 2.259 ms / iter

e2e bert_large | bs:1 | seq:128  |  Torch Native    : 10.064 ms / iter
e2e bert_large | bs:1 | seq:128  |  STOF MHA        : 6.926 ms / iter
e2e bert_large | bs:1 | seq:128  |  STOF Compiled   : 5.420 ms / iter
e2e bert_large | bs:1 | seq:128  |  STOF            : 4.845 ms / iter

e2e gpt | bs:1 | seq:128  |  Torch Native    : 5.829 ms / iter
e2e gpt | bs:1 | seq:128  |  STOF MHA        : 4.879 ms / iter
e2e gpt | bs:1 | seq:128  |  STOF Compiled   : 4.479 ms / iter
e2e gpt | bs:1 | seq:128  |  STOF            : 4.347 ms / iter

e2e llama | bs:1 | seq:128  |  Torch Native    : 28.922 ms / iter
e2e llama | bs:1 | seq:128  |  STOF MHA        : 27.233 ms / iter
e2e llama | bs:1 | seq:128  |  STOF Compiled   : 21.871 ms / iter
e2e llama | bs:1 | seq:128  |  STOF            : 20.407 ms / iter

e2e t5 | bs:1 | seq:128  |  Torch Native    : 15.890 ms / iter
e2e t5 | bs:1 | seq:128  |  STOF MHA        : 13.760 ms / iter
e2e t5 | bs:1 | seq:128  |  STOF Compiled   : 9.950 ms / iter
e2e t5 | bs:1 | seq:128  |  STOF            : 9.233 ms / iter

e2e Vit_base | bs:1 | seq:128  |  Torch Native    : 576.138 ms / iter
e2e Vit_base | bs:1 | seq:128  |  STOF MHA        : 551.979 ms / iter
e2e Vit_base | bs:1 | seq:128  |  STOF Compiled   : 511.873 ms / iter
e2e Vit_base | bs:1 | seq:128  |  STOF            : 505.580  ms / iter

e2e bert_base | bs:8 | seq:512  |  Torch Native    : 26.088 ms / iter
e2e bert_base | bs:8 | seq:512  |  STOF MHA        : 22.424 ms / iter
e2e bert_base | bs:8 | seq:512  |  STOF Compiled   : 20.864 ms / iter
e2e bert_base | bs:8 | seq:512  |  STOF            : 18.228 ms / iter

