Script started on 2025-08-30 08:38:07+00:00 [TERM="xterm-256color" TTY="/dev/pts/4" COLUMNS="249" LINES="7"]
 PyTorch version: 2.7.0+cu126
 CUDA version 	: 12.6
 GPU cuda:(0) 	: NVIDIA GeForce RTX 4090 
 --------------------------------------------------
 [Benchmark] Attention unified benchmark for BigBird_Mask
 bs:1 | h_num:12 | seq:128  |  FlashAttn2  : 0.089 ms / iter
 bs:1 | h_num:12 | seq:128  |  Torch Naive : 0.231 ms / iter
 bs:1 | h_num:12 | seq:128  |   FlexAttn   : 0.151 ms / iter
 bs:1 | h_num:12 | seq:128  |  ByteTrans   : 0.090 ms / iter
 bs:1 | h_num:12 | seq:128  |  Our Kernel  : 0.075 ms / iter

 bs:1 | h_num:12 | seq:256  |  FlashAttn2  : 0.090 ms / iter
 bs:1 | h_num:12 | seq:256  |  Torch Naive : 0.235 ms / iter
 bs:1 | h_num:12 | seq:256  |   FlexAttn   : 0.152 ms / iter
 bs:1 | h_num:12 | seq:256  |  ByteTrans   : 0.094 ms / iter
 bs:1 | h_num:12 | seq:256  |  Our Kernel  : 0.074 ms / iter

 bs:1 | h_num:12 | seq:512  |  FlashAttn2  : 0.097 ms / iter
 bs:1 | h_num:12 | seq:512  |  Torch Naive : 0.235 ms / iter
 bs:1 | h_num:12 | seq:512  |   FlexAttn   : 0.154 ms / iter
 bs:1 | h_num:12 | seq:512  |  ByteTrans   : 0.111 ms / iter
 bs:1 | h_num:12 | seq:512  |  Our Kernel  : 0.082 ms / iter

 bs:1 | h_num:12 | seq:1024  |  FlashAttn2  : 0.199 ms / iter
 bs:1 | h_num:12 | seq:1024  |  Torch Naive : 0.257 ms / iter
 bs:1 | h_num:12 | seq:1024  |   FlexAttn   : 0.154 ms / iter
 bs:1 | h_num:12 | seq:1024  |  ByteTrans   : 0.185 ms / iter
 bs:1 | h_num:12 | seq:1024  |  Our Kernel  : 0.132 ms / iter

 bs:1 | h_num:12 | seq:2048  |  FlashAttn2  : 0.124 ms / iter
 bs:1 | h_num:12 | seq:2048  |  Torch Naive : 0.734 ms / iter
 bs:1 | h_num:12 | seq:2048  |   FlexAttn   : 0.153 ms / iter
