Script started on 2025-08-30 07:43:56+00:00 [TERM="xterm-256color" TTY="/dev/pts/4" COLUMNS="249" LINES="16"]
 PyTorch version: 2.7.0+cu126
 CUDA version 	: 12.6
 GPU cuda:(0) 	: NVIDIA GeForce RTX 4090 
 --------------------------------------------------
 [Benchmark] Attention unified benchmark for Causal_Mask
 bs:1 | h_num:12 | seq:128  |  FlashAttn2  : 0.151 ms / iter
 bs:1 | h_num:12 | seq:128  |  Torch Naive : 0.410 ms / iter
 bs:1 | h_num:12 | seq:128  |   FlexAttn   : 0.153 ms / iter
 bs:1 | h_num:12 | seq:128  |  ByteTrans   : 0.154 ms / iter
 bs:1 | h_num:12 | seq:128  |  Our Kernel  : 0.135 ms / iter

 bs:1 | h_num:12 | seq:256  |  FlashAttn2  : 0.083 ms / iter
 bs:1 | h_num:12 | seq:256  |  Torch Naive : 0.396 ms / iter
 bs:1 | h_num:12 | seq:256  |   FlexAttn   : 0.155 ms / iter
 bs:1 | h_num:12 | seq:256  |  ByteTrans   : 0.092 ms / iter
 bs:1 | h_num:12 | seq:256  |  Our Kernel  : 0.072 ms / iter

 bs:1 | h_num:12 | seq:512  |  FlashAttn2  : 0.141 ms / iter
 bs:1 | h_num:12 | seq:512  |  Torch Naive : 0.490 ms / iter
 bs:1 | h_num:12 | seq:512  |   FlexAttn   : 0.152 ms / iter
 bs:1 | h_num:12 | seq:512  |  ByteTrans   : 0.104 ms / iter
 bs:1 | h_num:12 | seq:512  |  Our Kernel  : 0.075 ms / iter

 bs:1 | h_num:12 | seq:1024  |  FlashAttn2  : 0.092 ms / iter
 bs:1 | h_num:12 | seq:1024  |  Torch Naive : 0.310 ms / iter
 bs:1 | h_num:12 | seq:1024  |   FlexAttn   : 0.153 ms / iter
 bs:1 | h_num:12 | seq:1024  |  ByteTrans   : 0.189 ms / iter
 bs:1 | h_num:12 | seq:1024  |  Our Kernel  : 0.076 ms / iter

 bs:1 | h_num:12 | seq:2048  |  FlashAttn2  : 0.124 ms / iter
 bs:1 | h_num:12 | seq:2048  |  Torch Naive : 0.994 ms / iter
 bs:1 | h_num:12 | seq:2048  |   FlexAttn   : 0.156 ms / iter
 bs:1 | h_num:12 | seq:2048  |  Our Kernel  : 0.097 ms / iter

 bs:1 | h_num:12 | seq:4096  |  FlashAttn2  : 0.283 ms / iter
 bs:1 | h_num:12 | seq:4096  |  Torch Naive : 4.657 ms / iter
 bs:1 | h_num:12 | seq:4096  |   FlexAttn   : 0.297 ms / iter
 bs:1 | h_num:12 | seq:4096  |  Our Kernel  : 0.248 ms / iter

 bs:8 | h_num:12 | seq:128  |  FlashAttn2  : 0.083 ms / iter
 bs:8 | h_num:12 | seq:128  |  Torch Naive : 0.384 ms / iter
 bs:8 | h_num:12 | seq:128  |   FlexAttn   : 0.163 ms / iter
 bs:8 | h_num:12 | seq:128  |  ByteTrans   : 0.088 ms / iter
 bs:8 | h_num:12 | seq:128  |  Our Kernel  : 0.069 ms / iter

 bs:8 | h_num:12 | seq:256  |  FlashAttn2  : 0.082 ms / iter
 bs:8 | h_num:12 | seq:256  |  Torch Naive : 0.382 ms / iter
 bs:8 | h_num:12 | seq:256  |   FlexAttn   : 0.151 ms / iter
 bs:8 | h_num:12 | seq:256  |  ByteTrans   : 0.089 ms / iter
 bs:8 | h_num:12 | seq:256  |  Our Kernel  : 0.070 ms / iter

 bs:8 | h_num:12 | seq:512  |  FlashAttn2  : 0.082 ms / iter
 bs:8 | h_num:12 | seq:512  |  Torch Naive : 0.572 ms / iter
 bs:8 | h_num:12 | seq:512  |   FlexAttn   : 0.153 ms / iter
 bs:8 | h_num:12 | seq:512  |  ByteTrans   : 0.326 ms / iter
 bs:8 | h_num:12 | seq:512  |  Our Kernel  : 0.070 ms / iter

 bs:8 | h_num:12 | seq:1024  |  FlashAttn2  : 0.134 ms / iter
 bs:8 | h_num:12 | seq:1024  |  Torch Naive : 2.147 ms / iter
 bs:8 | h_num:12 | seq:1024  |   FlexAttn   : 0.156 ms / iter
 bs:8 | h_num:12 | seq:1024  |  ByteTrans   : 0.985 ms / iter
 bs:8 | h_num:12 | seq:1024  |  Our Kernel  : 0.118 ms / iter

 bs:8 | h_num:12 | seq:2048  |  FlashAttn2  : 0.436 ms / iter
 bs:8 | h_num:12 | seq:2048  |  Torch Naive : 8.140 ms / iter
 bs:8 | h_num:12 | seq:2048  |   FlexAttn   : 0.454 ms / iter
 bs:8 | h_num:12 | seq:2048  |  Our Kernel  : 0.407 ms / iter

 bs:8 | h_num:12 | seq:4096  |  FlashAttn2  : 1.539 ms / iter
 bs:8 | h_num:12 | seq:4096  |  Torch Naive : 35.907 ms / iter
 bs:8 | h_num:12 | seq:4096  |   FlexAttn   : 1.574 ms / iter
 bs:8 | h_num:12 | seq:4096  |  Our Kernel  : 1.478 ms / iter

 bs:16 | h_num:12 | seq:128  |  FlashAttn2  : 0.081 ms / iter
 bs:16 | h_num:12 | seq:128  |  Torch Naive : 0.383 ms / iter
 bs:16 | h_num:12 | seq:128  |   FlexAttn   : 0.150 ms / iter
 bs:16 | h_num:12 | seq:128  |  ByteTrans   : 0.088 ms / iter
 bs:16 | h_num:12 | seq:128  |  Our Kernel  : 0.071 ms / iter

 bs:16 | h_num:12 | seq:256  |  FlashAttn2  : 0.083 ms / iter
 bs:16 | h_num:12 | seq:256  |  Torch Naive : 0.441 ms / iter
 bs:16 | h_num:12 | seq:256  |   FlexAttn   : 0.153 ms / iter
 bs:16 | h_num:12 | seq:256  |  ByteTrans   : 0.089 ms / iter
 bs:16 | h_num:12 | seq:256  |  Our Kernel  : 0.070 ms / iter

 bs:16 | h_num:12 | seq:512  |  FlashAttn2  : 0.084 ms / iter
 bs:16 | h_num:12 | seq:512  |  Torch Naive : 1.143 ms / iter
 bs:16 | h_num:12 | seq:512  |   FlexAttn   : 0.155 ms / iter
 bs:16 | h_num:12 | seq:512  |  ByteTrans   : 0.602 ms / iter
