Script started on 2025-04-06 13:01:40+00:00 [TERM="xterm" TTY="/dev/pts/4" COLUMNS="104" LINES="53"]
 PyTorch version: 2.6.0+cu126
 CUDA version 	: 12.6
 GPU cuda:(0) 	: NVIDIA A100-PCIE-40GB 
 --------------------------------------------------
 [Benchmark] Attention unified benchmark for BigBird_Mask
 bs:1 | h_num:12 | seq:128  |  FlashAttn2  : 0.091 ms / iter
 bs:1 | h_num:12 | seq:128  |  Torch Naive : 0.167 ms / iter
 bs:1 | h_num:12 | seq:128  |   FlexAttn   : 0.086 ms / iter
 bs:1 | h_num:12 | seq:128  |  ByteTrans   : 0.055 ms / iter
 bs:1 | h_num:12 | seq:128  |  Our Kernel  : 0.033 ms / iter

 bs:1 | h_num:12 | seq:256  |  FlashAttn2  : 0.082 ms / iter
 bs:1 | h_num:12 | seq:256  |  Torch Naive : 0.160 ms / iter
 bs:1 | h_num:12 | seq:256  |   FlexAttn   : 0.096 ms / iter
 bs:1 | h_num:12 | seq:256  |  ByteTrans   : 0.061 ms / iter
 bs:1 | h_num:12 | seq:256  |  Our Kernel  : 0.033 ms / iter

 bs:1 | h_num:12 | seq:512  |  FlashAttn2  : 0.101 ms / iter
 bs:1 | h_num:12 | seq:512  |  Torch Naive : 0.181 ms / iter
 bs:1 | h_num:12 | seq:512  |   FlexAttn   : 0.087 ms / iter
 bs:1 | h_num:12 | seq:512  |  ByteTrans   : 0.275 ms / iter
 bs:1 | h_num:12 | seq:512  |  Our Kernel  : 0.083 ms / iter

 bs:1 | h_num:12 | seq:1024  |  FlashAttn2  : 0.086 ms / iter
 bs:1 | h_num:12 | seq:1024  |  Torch Naive : 0.400 ms / iter
 bs:1 | h_num:12 | seq:1024  |   FlexAttn   : 0.093 ms / iter
 bs:1 | h_num:12 | seq:1024  |  ByteTrans   : 0.565 ms / iter
 bs:1 | h_num:12 | seq:1024  |  Our Kernel  : 0.083 ms / iter

 bs:1 | h_num:12 | seq:2048  |  FlashAttn2  : 0.173 ms / iter
 bs:1 | h_num:12 | seq:2048  |  Torch Naive : 1.981 ms / iter
 bs:1 | h_num:12 | seq:2048  |   FlexAttn   : 0.162 ms / iter
 bs:1 | h_num:12 | seq:2048  |  Our Kernel  : 0.123 ms / iter

 bs:1 | h_num:12 | seq:4096  |  FlashAttn2  : 0.608 ms / iter
 bs:1 | h_num:12 | seq:4096  |  Torch Naive : 5.665 ms / iter
 bs:1 | h_num:12 | seq:4096  |   FlexAttn   : 0.318 ms / iter
 bs:1 | h_num:12 | seq:4096  |  Our Kernel  : 0.266 ms / iter

 bs:8 | h_num:12 | seq:128  |  FlashAttn2  : 0.092 ms / iter
 bs:8 | h_num:12 | seq:128  |  Torch Naive : 0.174 ms / iter
 bs:8 | h_num:12 | seq:128  |   FlexAttn   : 0.091 ms / iter
 bs:8 | h_num:12 | seq:128  |  ByteTrans   : 0.059 ms / iter
 bs:8 | h_num:12 | seq:128  |  Our Kernel  : 0.033 ms / iter

 bs:8 | h_num:12 | seq:256  |  FlashAttn2  : 0.083 ms / iter
 bs:8 | h_num:12 | seq:256  |  Torch Naive : 0.175 ms / iter
 bs:8 | h_num:12 | seq:256  |   FlexAttn   : 0.086 ms / iter
 bs:8 | h_num:12 | seq:256  |  ByteTrans   : 0.071 ms / iter
 bs:8 | h_num:12 | seq:256  |  Our Kernel  : 0.047 ms / iter

 bs:8 | h_num:12 | seq:512  |  FlashAttn2  : 0.120 ms / iter
 bs:8 | h_num:12 | seq:512  |  Torch Naive : 0.679 ms / iter
 bs:8 | h_num:12 | seq:512  |   FlexAttn   : 0.143 ms / iter
 bs:8 | h_num:12 | seq:512  |  ByteTrans   : 0.920 ms / iter
 bs:8 | h_num:12 | seq:512  |  Our Kernel  : 0.111 ms / iter

