Script started on 2025-04-06 12:27:55+00:00 [TERM="xterm" TTY="/dev/pts/12" COLUMNS="104" LINES="53"]
 PyTorch version: 2.6.0+cu126
 CUDA version 	: 12.6
 GPU cuda:(0) 	: NVIDIA GeForce RTX 4090 
 --------------------------------------------------
 [Benchmark] Attention unified benchmark for Longformer_Mask
 bs:1 | h_num:12 | seq:128  |  FlashAttn2  : 0.133 ms / iter
 bs:1 | h_num:12 | seq:128  |  Torch Naive : 0.253 ms / iter
 bs:1 | h_num:12 | seq:128  |   FlexAttn   : 0.123 ms / iter
 bs:1 | h_num:12 | seq:128  |  ByteTrans   : 0.094 ms / iter
 bs:1 | h_num:12 | seq:128  |  Our Kernel  : 0.053 ms / iter

 bs:1 | h_num:12 | seq:256  |  FlashAttn2  : 0.130 ms / iter
 bs:1 | h_num:12 | seq:256  |  Torch Naive : 0.247 ms / iter
 bs:1 | h_num:12 | seq:256  |   FlexAttn   : 0.117 ms / iter
 bs:1 | h_num:12 | seq:256  |  ByteTrans   : 0.093 ms / iter
 bs:1 | h_num:12 | seq:256  |  Our Kernel  : 0.052 ms / iter

 bs:1 | h_num:12 | seq:512  |  FlashAttn2  : 0.141 ms / iter
 bs:1 | h_num:12 | seq:512  |  Torch Naive : 0.247 ms / iter
 bs:1 | h_num:12 | seq:512  |   FlexAttn   : 0.118 ms / iter
 bs:1 | h_num:12 | seq:512  |  ByteTrans   : 0.108 ms / iter
 bs:1 | h_num:12 | seq:512  |  Our Kernel  : 0.107 ms / iter

 bs:1 | h_num:12 | seq:1024  |  FlashAttn2  : 0.141 ms / iter
 bs:1 | h_num:12 | seq:1024  |  Torch Naive : 0.244 ms / iter
 bs:1 | h_num:12 | seq:1024  |   FlexAttn   : 0.120 ms / iter
 bs:1 | h_num:12 | seq:1024  |  ByteTrans   : 0.182 ms / iter
 bs:1 | h_num:12 | seq:1024  |  Our Kernel  : 0.118 ms / iter

 bs:1 | h_num:12 | seq:2048  |  FlashAttn2  : 0.132 ms / iter
 bs:1 | h_num:12 | seq:2048  |  Torch Naive : 1.211 ms / iter
 bs:1 | h_num:12 | seq:2048  |   FlexAttn   : 0.129 ms / iter
 bs:1 | h_num:12 | seq:2048  |  Our Kernel  : 0.108 ms / iter

 bs:1 | h_num:12 | seq:4096  |  FlashAttn2  : 0.357 ms / iter
 bs:1 | h_num:12 | seq:4096  |  Torch Naive : 3.929 ms / iter
 bs:1 | h_num:12 | seq:4096  |   FlexAttn   : 0.294 ms / iter
 bs:1 | h_num:12 | seq:4096  |  Our Kernel  : 0.154 ms / iter

 bs:8 | h_num:12 | seq:128  |  FlashAttn2  : 0.130 ms / iter
 bs:8 | h_num:12 | seq:128  |  Torch Naive : 0.247 ms / iter
 bs:8 | h_num:12 | seq:128  |   FlexAttn   : 0.118 ms / iter
 bs:8 | h_num:12 | seq:128  |  ByteTrans   : 0.092 ms / iter
 bs:8 | h_num:12 | seq:128  |  Our Kernel  : 0.052 ms / iter

 bs:8 | h_num:12 | seq:256  |  FlashAttn2  : 0.130 ms / iter
 bs:8 | h_num:12 | seq:256  |  Torch Naive : 0.249 ms / iter
 bs:8 | h_num:12 | seq:256  |   FlexAttn   : 0.120 ms / iter
 bs:8 | h_num:12 | seq:256  |  ByteTrans   : 0.095 ms / iter
 bs:8 | h_num:12 | seq:256  |  Our Kernel  : 0.052 ms / iter

 bs:8 | h_num:12 | seq:512  |  FlashAttn2  : 0.131 ms / iter
 bs:8 | h_num:12 | seq:512  |  Torch Naive : 0.326 ms / iter
 bs:8 | h_num:12 | seq:512  |   FlexAttn   : 0.124 ms / iter
 bs:8 | h_num:12 | seq:512  |  ByteTrans   : 0.333 ms / iter
 bs:8 | h_num:12 | seq:512  |  Our Kernel  : 0.120 ms / iter

 bs:8 | h_num:12 | seq:1024  |  FlashAttn2  : 0.191 ms / iter
 bs:8 | h_num:12 | seq:1024  |  Torch Naive : 1.901 ms / iter
 bs:8 | h_num:12 | seq:1024  |   FlexAttn   : 0.181 ms / iter
 bs:8 | h_num:12 | seq:1024  |  ByteTrans   : 1.093 ms / iter
 bs:8 | h_num:12 | seq:1024  |  Our Kernel  : 0.166 ms / iter

 bs:8 | h_num:12 | seq:2048  |  FlashAttn2  : 0.717 ms / iter
 bs:8 | h_num:12 | seq:2048  |  Torch Naive : 9.601 ms / iter
 bs:8 | h_num:12 | seq:2048  |   FlexAttn   : 0.525 ms / iter
 bs:8 | h_num:12 | seq:2048  |  Our Kernel  : 0.399 ms / iter

 bs:8 | h_num:12 | seq:4096  |  FlashAttn2  : 2.771 ms / iter
 bs:8 | h_num:12 | seq:4096  |  Torch Naive : 32.416 ms / iter
 bs:8 | h_num:12 | seq:4096  |   FlexAttn   : 1.687 ms / iter
 bs:8 | h_num:12 | seq:4096  |  Our Kernel  : 0.891 ms / iter

 bs:16 | h_num:12 | seq:128  |  FlashAttn2  : 0.133 ms / iter
 bs:16 | h_num:12 | seq:128  |  Torch Naive : 0.252 ms / iter
 bs:16 | h_num:12 | seq:128  |   FlexAttn   : 0.123 ms / iter
 bs:16 | h_num:12 | seq:128  |  ByteTrans   : 0.095 ms / iter
 bs:16 | h_num:12 | seq:128  |  Our Kernel  : 0.052 ms / iter

 bs:16 | h_num:12 | seq:256  |  FlashAttn2  : 0.134 ms / iter
 bs:16 | h_num:12 | seq:256  |  Torch Naive : 0.254 ms / iter
 bs:16 | h_num:12 | seq:256  |   FlexAttn   : 0.123 ms / iter
 bs:16 | h_num:12 | seq:256  |  ByteTrans   : 0.098 ms / iter
 bs:16 | h_num:12 | seq:256  |  Our Kernel  : 0.053 ms / iter

 bs:16 | h_num:12 | seq:512  |  FlashAttn2  : 0.134 ms / iter
 bs:16 | h_num:12 | seq:512  |  Torch Naive : 0.973 ms / iter
 bs:16 | h_num:12 | seq:512  |   FlexAttn   : 0.125 ms / iter
 bs:16 | h_num:12 | seq:512  |  ByteTrans   : 0.617 ms / iter
 bs:16 | h_num:12 | seq:512  |  Our Kernel  : 0.121 ms / iter

 bs:16 | h_num:12 | seq:1024  |  FlashAttn2  : 0.385 ms / iter
 bs:16 | h_num:12 | seq:1024  |  Torch Naive : 3.786 ms / iter
 bs:16 | h_num:12 | seq:1024  |   FlexAttn   : 0.320 ms / iter
 bs:16 | h_num:12 | seq:1024  |  ByteTrans   : 2.139 ms / iter
 bs:16 | h_num:12 | seq:1024  |  Our Kernel  : 0.300 ms / iter

 bs:16 | h_num:12 | seq:2048  |  FlashAttn2  : 1.440 ms / iter
 bs:16 | h_num:12 | seq:2048  |  Torch Naive : 18.962 ms / iter
 bs:16 | h_num:12 | seq:2048  |   FlexAttn   : 0.980 ms / iter
 bs:16 | h_num:12 | seq:2048  |  Our Kernel  : 0.762 ms / iter

 bs:16 | h_num:12 | seq:4096  |  FlashAttn2  : 5.502 ms / iter
 bs:16 | h_num:12 | seq:4096  |  Torch Naive : 64.012 ms / iter
 bs:16 | h_num:12 | seq:4096  |   FlexAttn   : 3.256 ms / iter
 bs:16 | h_num:12 | seq:4096  |  Our Kernel  : 1.630 ms / iter


Script done on 2025-04-06 12:29:05+00:00 [COMMAND_EXIT_CODE="0"]
