Script started on 2025-04-06 13:00:32+00:00 [TERM="xterm" TTY="/dev/pts/4" COLUMNS="104" LINES="53"]
 PyTorch version: 2.6.0+cu126
 CUDA version 	: 12.6
 GPU cuda:(0) 	: NVIDIA A100-PCIE-40GB 
 --------------------------------------------------
 [Benchmark] Attention unified benchmark for Longformer_Mask
 bs:1 | h_num:12 | seq:128  |  FlashAttn2  : 0.087 ms / iter
 bs:1 | h_num:12 | seq:128  |  Torch Naive : 0.174 ms / iter
 bs:1 | h_num:12 | seq:128  |   FlexAttn   : 0.096 ms / iter
 bs:1 | h_num:12 | seq:128  |  ByteTrans   : 0.061 ms / iter
 bs:1 | h_num:12 | seq:128  |  Our Kernel  : 0.038 ms / iter

 bs:1 | h_num:12 | seq:256  |  FlashAttn2  : 0.092 ms / iter
 bs:1 | h_num:12 | seq:256  |  Torch Naive : 0.180 ms / iter
 bs:1 | h_num:12 | seq:256  |   FlexAttn   : 0.094 ms / iter
 bs:1 | h_num:12 | seq:256  |  ByteTrans   : 0.063 ms / iter
 bs:1 | h_num:12 | seq:256  |  Our Kernel  : 0.035 ms / iter

 bs:1 | h_num:12 | seq:512  |  FlashAttn2  : 0.104 ms / iter
 bs:1 | h_num:12 | seq:512  |  Torch Naive : 0.181 ms / iter
 bs:1 | h_num:12 | seq:512  |   FlexAttn   : 0.088 ms / iter
 bs:1 | h_num:12 | seq:512  |  ByteTrans   : 0.264 ms / iter
 bs:1 | h_num:12 | seq:512  |  Our Kernel  : 0.081 ms / iter

 bs:1 | h_num:12 | seq:1024  |  FlashAttn2  : 0.085 ms / iter
 bs:1 | h_num:12 | seq:1024  |  Torch Naive : 0.397 ms / iter
 bs:1 | h_num:12 | seq:1024  |   FlexAttn   : 0.093 ms / iter
 bs:1 | h_num:12 | seq:1024  |  ByteTrans   : 0.554 ms / iter
 bs:1 | h_num:12 | seq:1024  |  Our Kernel  : 0.081 ms / iter

 bs:1 | h_num:12 | seq:2048  |  FlashAttn2  : 0.164 ms / iter
 bs:1 | h_num:12 | seq:2048  |  Torch Naive : 1.883 ms / iter
 bs:1 | h_num:12 | seq:2048  |   FlexAttn   : 0.156 ms / iter
 bs:1 | h_num:12 | seq:2048  |  Our Kernel  : 0.132 ms / iter

 bs:1 | h_num:12 | seq:4096  |  FlashAttn2  : 0.608 ms / iter
 bs:1 | h_num:12 | seq:4096  |  Torch Naive : 5.879 ms / iter
 bs:1 | h_num:12 | seq:4096  |   FlexAttn   : 0.288 ms / iter
 bs:1 | h_num:12 | seq:4096  |  Our Kernel  : 0.227 ms / iter

 bs:8 | h_num:12 | seq:128  |  FlashAttn2  : 0.088 ms / iter
 bs:8 | h_num:12 | seq:128  |  Torch Naive : 0.170 ms / iter
 bs:8 | h_num:12 | seq:128  |   FlexAttn   : 0.096 ms / iter
 bs:8 | h_num:12 | seq:128  |  ByteTrans   : 0.062 ms / iter
 bs:8 | h_num:12 | seq:128  |  Our Kernel  : 0.034 ms / iter

 bs:8 | h_num:12 | seq:256  |  FlashAttn2  : 0.083 ms / iter
 bs:8 | h_num:12 | seq:256  |  Torch Naive : 0.174 ms / iter
 bs:8 | h_num:12 | seq:256  |   FlexAttn   : 0.087 ms / iter
 bs:8 | h_num:12 | seq:256  |  ByteTrans   : 0.070 ms / iter
 bs:8 | h_num:12 | seq:256  |  Our Kernel  : 0.047 ms / iter

 bs:8 | h_num:12 | seq:512  |  FlashAttn2  : 0.086 ms / iter
 bs:8 | h_num:12 | seq:512  |  Torch Naive : 0.449 ms / iter
 bs:8 | h_num:12 | seq:512  |   FlexAttn   : 0.121 ms / iter
 bs:8 | h_num:12 | seq:512  |  ByteTrans   : 0.890 ms / iter
 bs:8 | h_num:12 | seq:512  |  Our Kernel  : 0.079 ms / iter

 bs:8 | h_num:12 | seq:1024  |  FlashAttn2  : 0.216 ms / iter
 bs:8 | h_num:12 | seq:1024  |  Torch Naive : 1.750 ms / iter
 bs:8 | h_num:12 | seq:1024  |   FlexAttn   : 0.199 ms / iter
 bs:8 | h_num:12 | seq:1024  |  ByteTrans   : 1.739 ms / iter
 bs:8 | h_num:12 | seq:1024  |  Our Kernel  : 0.181 ms / iter

 bs:8 | h_num:12 | seq:2048  |  FlashAttn2  : 1.044 ms / iter
 bs:8 | h_num:12 | seq:2048  |  Torch Naive : 10.360 ms / iter
 bs:8 | h_num:12 | seq:2048  |   FlexAttn   : 0.538 ms / iter
 bs:8 | h_num:12 | seq:2048  |  Our Kernel  : 0.408 ms / iter

 bs:8 | h_num:12 | seq:4096  |  FlashAttn2  : 4.267 ms / iter
 bs:8 | h_num:12 | seq:4096  |  Torch Naive : 31.791 ms / iter
 bs:8 | h_num:12 | seq:4096  |   FlexAttn   : 1.797 ms / iter
 bs:8 | h_num:12 | seq:4096  |  Our Kernel  : 1.344 ms / iter

 bs:16 | h_num:12 | seq:128  |  FlashAttn2  : 0.084 ms / iter
 bs:16 | h_num:12 | seq:128  |  Torch Naive : 0.165 ms / iter
 bs:16 | h_num:12 | seq:128  |   FlexAttn   : 0.086 ms / iter
