Script started on 2025-04-06 12:58:58+00:00 [TERM="xterm" TTY="/dev/pts/4" COLUMNS="104" LINES="53"]
 PyTorch version: 2.6.0+cu126
 CUDA version 	: 12.6
 GPU cuda:(0) 	: NVIDIA A100-PCIE-40GB 
 --------------------------------------------------
 [Benchmark] Attention unified benchmark for Sliding_Mask
 bs:1 | h_num:12 | seq:128  |  FlashAttn2  : 0.092 ms / iter
 bs:1 | h_num:12 | seq:128  |  Torch Naive : 0.169 ms / iter
 bs:1 | h_num:12 | seq:128  |   FlexAttn   : 0.092 ms / iter
 bs:1 | h_num:12 | seq:128  |  ByteTrans   : 0.056 ms / iter
 bs:1 | h_num:12 | seq:128  |  Our Kernel  : 0.036 ms / iter

 bs:1 | h_num:12 | seq:256  |  FlashAttn2  : 0.083 ms / iter
 bs:1 | h_num:12 | seq:256  |  Torch Naive : 0.162 ms / iter
 bs:1 | h_num:12 | seq:256  |   FlexAttn   : 0.096 ms / iter
 bs:1 | h_num:12 | seq:256  |  ByteTrans   : 0.063 ms / iter
 bs:1 | h_num:12 | seq:256  |  Our Kernel  : 0.034 ms / iter

 bs:1 | h_num:12 | seq:512  |  FlashAttn2  : 0.100 ms / iter
 bs:1 | h_num:12 | seq:512  |  Torch Naive : 0.171 ms / iter
 bs:1 | h_num:12 | seq:512  |   FlexAttn   : 0.092 ms / iter
 bs:1 | h_num:12 | seq:512  |  ByteTrans   : 0.287 ms / iter
 bs:1 | h_num:12 | seq:512  |  Our Kernel  : 0.052 ms / iter

 bs:1 | h_num:12 | seq:1024  |  FlashAttn2  : 0.096 ms / iter
 bs:1 | h_num:12 | seq:1024  |  Torch Naive : 0.404 ms / iter
 bs:1 | h_num:12 | seq:1024  |   FlexAttn   : 0.097 ms / iter
 bs:1 | h_num:12 | seq:1024  |  ByteTrans   : 0.577 ms / iter
 bs:1 | h_num:12 | seq:1024  |  Our Kernel  : 0.078 ms / iter

 bs:1 | h_num:12 | seq:2048  |  FlashAttn2  : 0.173 ms / iter
 bs:1 | h_num:12 | seq:2048  |  Torch Naive : 1.986 ms / iter
 bs:1 | h_num:12 | seq:2048  |   FlexAttn   : 0.132 ms / iter
 bs:1 | h_num:12 | seq:2048  |  Our Kernel  : 0.109 ms / iter

 bs:1 | h_num:12 | seq:4096  |  FlashAttn2  : 0.420 ms / iter
 bs:1 | h_num:12 | seq:4096  |  Torch Naive : 4.791 ms / iter
 bs:1 | h_num:12 | seq:4096  |   FlexAttn   : 0.323 ms / iter
 bs:1 | h_num:12 | seq:4096  |  Our Kernel  : 0.250 ms / iter

 bs:8 | h_num:12 | seq:128  |  FlashAttn2  : 0.096 ms / iter
 bs:8 | h_num:12 | seq:128  |  Torch Naive : 0.194 ms / iter
 bs:8 | h_num:12 | seq:128  |   FlexAttn   : 0.107 ms / iter
 bs:8 | h_num:12 | seq:128  |  ByteTrans   : 0.073 ms / iter
 bs:8 | h_num:12 | seq:128  |  Our Kernel  : 0.052 ms / iter

