
Operator , Batch , SeqLen , Hidden , single_config (ms) , fused_config (ms) 
Bias+Layernorm,  1 ,    128 ,    512 ,  0.107  , 0.068
Bias+Layernorm,  1 ,   4096 ,    512 ,  0.114  , 0.067
Bias+Layernorm,  8 ,    128 ,    512 ,  0.095  , 0.067 
Bias+Layernorm,  8 ,   4096 ,    512 ,  0.108  , 0.074
Bias+Layernorm,  1 ,    128 ,    1024 , 0.111 ,  0.066
Bias+Layernorm,  1 ,   4096 ,    1024 , 0.108  , 0.067
Bias+Layernorm,  8 ,    128 ,    1024 , 0.097 ,  0.067
Bias+Layernorm,  8 ,   4096 ,    1024 , 0.142  , 0.121

GEMM+Layernorm,  1 ,    128 ,    512 ,  0.747  , 0.066 
GEMM+Layernorm,  1 ,   4096 ,    512 ,  1.715  , 0.172 
GEMM+Layernorm,  8 ,    128 ,    512 ,  0.800  , 0.071
GEMM+Layernorm,  8 ,   4096 ,    512 ,  6.825  , 0.187 
GEMM+Layernorm,  1 ,    128 ,    1024 , 4.880 ,  1.234 
GEMM+Layernorm,  1 ,   4096 ,    1024 , 10.012  , 3.807 
GEMM+Layernorm,  8 ,    128 ,    1024 , 5.160 ,  1.414 
GEMM+Layernorm,  8 ,   4096 ,    1024 , 34.578  , 28.391

GEMM+GEMM,  1 ,    128 ,    512 ,  0.354  , 0.087 
GEMM+GEMM,  1 ,   4096 ,    512 ,  0.792  , 0.552 
GEMM+GEMM,  8 ,    128 ,    512 ,  0.429  , 0.362 
GEMM+GEMM,  8 ,   4096 ,    512 ,  5.482  , 4.212 
GEMM+GEMM,  1 ,    128 ,    1024 , 1.929 ,  0.327 
GEMM+GEMM,  1 ,   4096 ,    1024 , 5.071  , 3.443 
GEMM+GEMM,  8 ,    128 ,    1024 , 2.216 ,  1.601 
GEMM+GEMM,  8 ,   4096 ,    1024 , 31.406 , 31.406
